StateAbbr,LocationName,LocationID,TotalPopulation,BINGE,CSMOKING,DEPRESSION,DIABETES,LPA,OBESITY
KS,Elk,20049,2441,346.62199999999996,500.40500000000003,493.082,427.175,842.145,1027.661
KS,Ellis,20051,28941,5875.023,3530.8019999999997,5730.318,2749.395,5817.141000000001,11229.107999999998
KS,Ellsworth,20053,6355,1137.5449999999998,1137.5449999999998,1143.9,864.28,1842.95,2484.805
KS,Finney,20055,37650,6287.55,6362.85,7191.150000000001,5233.35,12123.300000000001,16151.85
KS,Ford,20057,33848,5618.768000000001,5889.552,6532.664000000001,4772.568,11406.776000000002,12896.088000000002
KS,Franklin,20059,25992,4262.688,3950.7839999999997,5276.376,2937.0960000000005,6004.152000000001,8915.256
KS,Geary,20061,35691,6888.363,6174.543000000001,7637.873999999999,3426.336,9957.788999999999,12491.85
KS,Gove,20063,2717,432.00300000000004,426.569,518.947,342.342,671.0989999999999,1073.215
KS,Graham,20065,2411,339.95099999999996,344.773,426.74699999999996,356.82800000000003,672.669,928.235
KS,Grant,20067,7197,1252.278,1122.732,1302.6570000000002,935.61,2079.933,2907.5879999999997
KS,Gray,20069,5729,1042.678,928.0980000000001,1134.342,630.19,1512.4560000000001,2245.768
KS,Greeley,20071,1223,201.79500000000002,166.328,218.91699999999997,141.868,287.40500000000003,446.395
KS,Greenwood,20073,5939,855.2160000000001,1074.959,1169.983,926.4839999999999,1787.639,2387.478
KS,Hamilton,20075,2430,420.39,379.08,449.55,303.75,643.95,972.0
KS,Harper,20077,5323,809.0959999999999,1171.06,1075.2459999999999,857.003,1777.8819999999998,2235.66
KS,Harvey,20079,33801,5340.558000000001,4732.14,6861.603000000001,3954.7169999999996,8416.448999999999,12303.563999999998
KS,Haskell,20081,3576,586.4639999999999,622.2239999999999,704.472,486.336,1051.344,1430.4
KS,Hodgeman,20083,1755,275.535,256.23,312.39,219.375,440.505,638.82
KS,Jackson,20085,13286,2271.906,2178.904,2577.484,1740.4660000000001,3348.072,5752.838
KS,Jefferson,20087,18344,3375.296,2641.5360000000005,3430.328,2164.592,4109.056,7649.448
KS,Jewell,20089,2898,408.61799999999994,483.966,524.538,449.19,808.542,1133.1180000000002
KS,Johnson,20091,619195,112693.49,57585.135,110216.71,54489.16,106501.54000000001,196284.815
KS,Kearny,20093,3855,612.945,697.755,744.015,558.975,1245.165,1646.085
KS,Kingman,20095,7193,1165.2659999999998,1244.3890000000001,1481.7580000000003,920.7040000000001,1906.145,2941.9370000000004
KS,Kiowa,20097,2404,387.04400000000004,317.328,442.336,266.844,533.688,819.7640000000001
KS,Labette,20099,19757,3161.12,3714.3160000000003,4010.6710000000003,2726.4660000000003,5433.175,8515.267000000002
KS,Lane,20101,1556,253.62800000000004,238.06800000000004,303.42,216.28400000000002,426.34399999999994,619.288
KS,Leavenworth,20103,82892,15252.127999999999,12682.476,16246.832000000002,9283.903999999999,19148.052000000003,33571.26
KS,Lincoln,20105,2899,437.749,455.143,562.406,417.456,782.73,1194.3880000000001
KS,Linn,20107,9796,1547.7680000000003,1704.504,1920.016,1391.032,2752.6760000000004,3810.644
KS,Logan,20109,2705,454.44,467.96500000000003,546.41,367.88,733.0550000000001,1046.8350000000003
KS,Lyon,20111,31898,5263.17,4816.598,6220.110000000001,3636.3720000000003,8580.562,11738.464
KS,Marion,20115,11868,1875.144,1614.048,2243.0519999999997,1483.5,2872.056,4497.972000000001
KS,Marshall,20117,9982,1547.21,1716.904,1986.418,1337.5880000000002,2695.14,4142.53
KS,McPherson,20113,30012,5102.04,4201.68,5852.34,3331.3320000000003,6572.628,10234.092
KS,Meade,20119,3897,658.5929999999998,654.696,748.2239999999999,514.404,1083.366,1558.8
KS,Miami,20121,34867,6450.395,4672.178,6624.7300000000005,3835.37,7391.804,12447.519000000002
KS,Mitchell,20123,5738,912.342,981.1980000000001,1136.124,745.94,1509.094,2243.5580000000004
KS,Montgomery,20125,30996,4773.384,6354.18,5827.2480000000005,4556.411999999999,9236.808,13886.207999999999
KS,Morris,20127,5349,802.35,925.377,978.867,727.4639999999999,1460.277,2139.6
KS,Morton,20129,2599,426.236,436.63200000000006,499.008,369.05799999999994,748.512,998.016
KS,Nemaha,20131,10115,1729.665,1537.48,1901.6200000000001,1092.42,2397.255,3368.295
KS,Neosho,20133,15606,2574.9900000000002,2871.504,3136.8060000000005,2138.022,4541.3460000000005,6616.944
KS,Ness,20135,2645,412.62,468.165,494.615,370.3,730.02,981.2950000000001
