,cbsacode,factor,k,baseline_moran_value,baseline_moran_p,final_moran_value,final_moran_p,selected_m_eigs,FsAMI,beta,p_value,CI_lower,CI_upper,AIC,BIC,AICc,CV_RMSE_final,LASSO_R2_unused,LASSO_n_eigs_unused
55,12540.0,ED,11,0.653093305020131,0.001,0.0265007168780859,0.063,44,-0.0542154783019857,1.0229138944275822,0.0,1.0181905634656645,1.0276372253895,-1842.055484479697,-1622.4411857072469,-1836.8332622574749,0.084524719970694,0.0,0
56,12580.0,ED,11,0.653093305020131,0.001,0.0265007168780859,0.063,44,-0.0996665251258459,1.0229138944275822,0.0,1.0181905634656645,1.0276372253895,-1842.055484479697,-1622.4411857072469,-1836.8332622574749,0.084524719970694,0.0,0
57,12620.0,ED,11,0.653093305020131,0.001,0.0265007168780859,0.063,44,-0.1349646321764019,1.0229138944275822,0.0,1.0181905634656645,1.0276372253895,-1842.055484479697,-1622.4411857072469,-1836.8332622574749,0.084524719970694,0.0,0
58,12660.0,ED,11,0.653093305020131,0.001,0.0265007168780859,0.063,44,0.1582248148401319,1.0229138944275822,0.0,1.0181905634656645,1.0276372253895,-1842.055484479697,-1622.4411857072469,-1836.8332622574749,0.084524719970694,0.0,0
59,12700.0,ED,11,0.653093305020131,0.001,0.0265007168780859,0.063,44,-0.0516345963324162,1.0229138944275822,0.0,1.0181905634656645,1.0276372253895,-1842.055484479697,-1622.4411857072469,-1836.8332622574749,0.084524719970694,0.0,0
60,12740.0,ED,11,0.653093305020131,0.001,0.0265007168780859,0.063,44,0.1785357505559073,1.0229138944275822,0.0,1.0181905634656645,1.0276372253895,-1842.055484479697,-1622.4411857072469,-1836.8332622574749,0.084524719970694,0.0,0
61,12780.0,ED,11,0.653093305020131,0.001,0.0265007168780859,0.063,44,-0.0644620071447725,1.0229138944275822,0.0,1.0181905634656645,1.0276372253895,-1842.055484479697,-1622.4411857072469,-1836.8332622574749,0.084524719970694,0.0,0
62,12860.0,ED,11,0.653093305020131,0.001,0.0265007168780859,0.063,44,0.0594451202887391,1.0229138944275822,0.0,1.0181905634656645,1.0276372253895,-1842.055484479697,-1622.4411857072469,-1836.8332622574749,0.084524719970694,0.0,0
63,12940.0,ED,11,0.653093305020131,0.001,0.0265007168780859,0.063,44,0.0851542653080184,1.0229138944275822,0.0,1.0181905634656645,1.0276372253895,-1842.055484479697,-1622.4411857072469,-1836.8332622574749,0.084524719970694,0.0,0
64,12980.0,ED,11,0.653093305020131,0.001,0.0265007168780859,0.063,44,-0.0426816699321026,1.0229138944275822,0.0,1.0181905634656645,1.0276372253895,-1842.055484479697,-1622.4411857072469,-1836.8332622574749,0.084524719970694,0.0,0
65,13020.0,ED,11,0.653093305020131,0.001,0.0265007168780859,0.063,44,0.0080945278831006,1.0229138944275822,0.0,1.0181905634656645,1.0276372253895,-1842.055484479697,-1622.4411857072469,-1836.8332622574749,0.084524719970694,0.0,0
66,13060.0,ED,11,0.653093305020131,0.001,0.0265007168780859,0.063,44,-0.0590076534295,1.0229138944275822,0.0,1.0181905634656645,1.0276372253895,-1842.055484479697,-1622.4411857072469,-1836.8332622574749,0.084524719970694,0.0,0
67,13100.0,ED,11,0.653093305020131,0.001,0.0265007168780859,0.063,44,-0.0106469333242369,1.0229138944275822,0.0,1.0181905634656645,1.0276372253895,-1842.055484479697,-1622.4411857072469,-1836.8332622574749,0.084524719970694,0.0,0
68,13140.0,ED,11,0.653093305020131,0.001,0.0265007168780859,0.063,44,-0.0087809927789077,1.0229138944275822,0.0,1.0181905634656645,1.0276372253895,-1842.055484479697,-1622.4411857072469,-1836.8332622574749,0.084524719970694,0.0,0
69,13180.0,ED,11,0.653093305020131,0.001,0.0265007168780859,0.063,44,0.0287790073850917,1.0229138944275822,0.0,1.0181905634656645,1.0276372253895,-1842.055484479697,-1622.4411857072469,-1836.8332622574749,0.084524719970694,0.0,0
70,13220.0,ED,11,0.653093305020131,0.001,0.0265007168780859,0.063,44,-0.1168490594616749,1.0229138944275822,0.0,1.0181905634656645,1.0276372253895,-1842.055484479697,-1622.4411857072469,-1836.8332622574749,0.084524719970694,0.0,0
71,13260.0,ED,11,0.653093305020131,0.001,0.0265007168780859,0.063,44,-0.0084162822419067,1.0229138944275822,0.0,1.0181905634656645,1.0276372253895,-1842.055484479697,-1622.4411857072469,-1836.8332622574749,0.084524719970694,0.0,0
72,13300.0,ED,11,0.653093305020131,0.001,0.0265007168780859,0.063,44,0.1623078167270097,1.0229138944275822,0.0,1.0181905634656645,1.0276372253895,-1842.055484479697,-1622.4411857072469,-1836.8332622574749,0.084524719970694,0.0,0
73,13340.0,ED,11,0.653093305020131,0.001,0.0265007168780859,0.063,44,-0.0428587654759571,1.0229138944275822,0.0,1.0181905634656645,1.0276372253895,-1842.055484479697,-1622.4411857072469,-1836.8332622574749,0.084524719970694,0.0,0
74,13380.0,ED,11,0.653093305020131,0.001,0.0265007168780859,0.063,44,0.1663909323978281,1.0229138944275822,0.0,1.0181905634656645,1.0276372253895,-1842.055484479697,-1622.4411857072469,-1836.8332622574749,0.084524719970694,0.0,0
75,13420.0,ED,11,0.653093305020131,0.001,0.0265007168780859,0.063,44,-0.0445089220263419,1.0229138944275822,0.0,1.0181905634656645,1.0276372253895,-1842.055484479697,-1622.4411857072469,-1836.8332622574749,0.084524719970694,0.0,0
76,13460.0,ED,11,0.653093305020131,0.001,0.0265007168780859,0.063,44,0.0829372827954042,1.0229138944275822,0.0,1.0181905634656645,1.0276372253895,-1842.055484479697,-1622.4411857072469,-1836.8332622574749,0.084524719970694,0.0,0
77,13540.0,ED,11,0.653093305020131,0.001,0.0265007168780859,0.063,44,0.0150185090482697,1.0229138944275822,0.0,1.0181905634656645,1.0276372253895,-1842.055484479697,-1622.4411857072469,-1836.8332622574749,0.084524719970694,0.0,0
78,13660.0,ED,11,0.653093305020131,0.001,0.0265007168780859,0.063,44,-0.0189633524483152,1.0229138944275822,0.0,1.0181905634656645,1.0276372253895,-1842.055484479697,-1622.4411857072469,-1836.8332622574749,0.084524719970694,0.0,0
79,13700.0,ED,11,0.653093305020131,0.001,0.0265007168780859,0.063,44,0.0088860205997445,1.0229138944275822,0.0,1.0181905634656645,1.0276372253895,-1842.055484479697,-1622.4411857072469,-1836.8332622574749,0.084524719970694,0.0,0
80,13740.0,ED,11,0.653093305020131,0.001,0.0265007168780859,0.063,44,0.143767660428379,1.0229138944275822,0.0,1.0181905634656645,1.0276372253895,-1842.055484479697,-1622.4411857072469,-1836.8332622574749,0.084524719970694,0.0,0
81,13780.0,ED,11,0.653093305020131,0.001,0.0265007168780859,0.063,44,-0.1034962846079992,1.0229138944275822,0.0,1.0181905634656645,1.0276372253895,-1842.055484479697,-1622.4411857072469,-1836.8332622574749,0.084524719970694,0.0,0
82,13820.0,ED,11,0.653093305020131,0.001,0.0265007168780859,0.063,44,-0.0068377256326108,1.0229138944275822,0.0,1.0181905634656645,1.0276372253895,-1842.055484479697,-1622.4411857072469,-1836.8332622574749,0.084524719970694,0.0,0
83,13860.0,ED,11,0.653093305020131,0.001,0.0265007168780859,0.063,44,0.0103348835052692,1.0229138944275822,0.0,1.0181905634656645,1.0276372253895,-1842.055484479697,-1622.4411857072469,-1836.8332622574749,0.084524719970694,0.0,0
84,13900.0,ED,11,0.653093305020131,0.001,0.0265007168780859,0.063,44,-0.0190041375955321,1.0229138944275822,0.0,1.0181905634656645,1.0276372253895,-1842.055484479697,-1622.4411857072469,-1836.8332622574749,0.084524719970694,0.0,0
85,13940.0,ED,11,0.653093305020131,0.001,0.0265007168780859,0.063,44,-0.0364689225648664,1.0229138944275822,0.0,1.0181905634656645,1.0276372253895,-1842.055484479697,-1622.4411857072469,-1836.8332622574749,0.084524719970694,0.0,0
86,13980.0,ED,11,0.653093305020131,0.001,0.0265007168780859,0.063,44,0.0936953945330056,1.0229138944275822,0.0,1.0181905634656645,1.0276372253895,-1842.055484479697,-1622.4411857072469,-1836.8332622574749,0.084524719970694,0.0,0
87,14010.0,ED,11,0.653093305020131,0.001,0.0265007168780859,0.063,44,0.1114367281925101,1.0229138944275822,0.0,1.0181905634656645,1.0276372253895,-1842.055484479697,-1622.4411857072469,-1836.8332622574749,0.084524719970694,0.0,0
88,14020.0,ED,11,0.653093305020131,0.001,0.0265007168780859,0.063,44,0.0635620072321057,1.0229138944275822,0.0,1.0181905634656645,1.0276372253895,-1842.055484479697,-1622.4411857072469,-1836.8332622574749,0.084524719970694,0.0,0
89,14100.0,ED,11,0.653093305020131,0.001,0.0265007168780859,0.063,44,-0.0062475292889416,1.0229138944275822,0.0,1.0181905634656645,1.0276372253895,-1842.055484479697,-1622.4411857072469,-1836.8332622574749,0.084524719970694,0.0,0
90,14140.0,ED,11,0.653093305020131,0.001,0.0265007168780859,0.063,44,-0.0448289586227854,1.0229138944275822,0.0,1.0181905634656645,1.0276372253895,-1842.055484479697,-1622.4411857072469,-1836.8332622574749,0.084524719970694,0.0,0
91,14180.0,ED,11,0.653093305020131,0.001,0.0265007168780859,0.063,44,-0.0906603050542909,1.0229138944275822,0.0,1.0181905634656645,1.0276372253895,-1842.055484479697,-1622.4411857072469,-1836.8332622574749,0.084524719970694,0.0,0
92,14220.0,ED,11,0.653093305020131,0.001,0.0265007168780859,0.063,44,0.060239452118985,1.0229138944275822,0.0,1.0181905634656645,1.0276372253895,-1842.055484479697,-1622.4411857072469,-1836.8332622574749,0.084524719970694,0.0,0
93,14260.0,ED,11,0.653093305020131,0.001,0.0265007168780859,0.063,44,-0.0759615027309266,1.0229138944275822,0.0,1.0181905634656645,1.0276372253895,-1842.055484479697,-1622.4411857072469,-1836.8332622574749,0.084524719970694,0.0,0
