cbsacode,factor,k,baseline_moran_value,baseline_moran_p,final_moran_value,final_moran_p,selected_m_eigs,FsAMI,beta,p_value,CI_lower,CI_upper,AIC,BIC,AICc,CV_RMSE_final,LASSO_R2_unused,LASSO_n_eigs_unused
10620.0,life_expectancy,5,0.612382981622967,0.001,0.03725072081239572,0.078,65,-0.011808040903598105,0.005797863399713189,4.504067366811476e-19,0.004554245822905665,0.007041480976520713,-4185.430613297693,-3865.5576129117326,-4174.139411315041,0.02305342083333668,0.009249876186800399,2
10660.0,life_expectancy,5,0.612382981622967,0.001,0.03725072081239572,0.078,65,-0.002843896478790242,0.005797863399713189,4.504067366811476e-19,0.004554245822905665,0.007041480976520713,-4185.430613297693,-3865.5576129117326,-4174.139411315041,0.02305342083333668,0.009249876186800399,2
10700.0,life_expectancy,5,0.612382981622967,0.001,0.03725072081239572,0.078,65,-0.007077392986034603,0.005797863399713189,4.504067366811476e-19,0.004554245822905665,0.007041480976520713,-4185.430613297693,-3865.5576129117326,-4174.139411315041,0.02305342083333668,0.009249876186800399,2
10740.0,life_expectancy,5,0.612382981622967,0.001,0.03725072081239572,0.078,65,-0.03726043346844765,0.005797863399713189,4.504067366811476e-19,0.004554245822905665,0.007041480976520713,-4185.430613297693,-3865.5576129117326,-4174.139411315041,0.02305342083333668,0.009249876186800399,2
10780.0,life_expectancy,5,0.612382981622967,0.001,0.03725072081239572,0.078,65,-0.014924831915604564,0.005797863399713189,4.504067366811476e-19,0.004554245822905665,0.007041480976520713,-4185.430613297693,-3865.5576129117326,-4174.139411315041,0.02305342083333668,0.009249876186800399,2
10820.0,life_expectancy,5,0.612382981622967,0.001,0.03725072081239572,0.078,65,0.008558951246590674,0.005797863399713189,4.504067366811476e-19,0.004554245822905665,0.007041480976520713,-4185.430613297693,-3865.5576129117326,-4174.139411315041,0.02305342083333668,0.009249876186800399,2
10860.0,life_expectancy,5,0.612382981622967,0.001,0.03725072081239572,0.078,65,-0.03519147312829318,0.005797863399713189,4.504067366811476e-19,0.004554245822905665,0.007041480976520713,-4185.430613297693,-3865.5576129117326,-4174.139411315041,0.02305342083333668,0.009249876186800399,2
10900.0,life_expectancy,5,0.612382981622967,0.001,0.03725072081239572,0.078,65,0.005358462512547568,0.005797863399713189,4.504067366811476e-19,0.004554245822905665,0.007041480976520713,-4185.430613297693,-3865.5576129117326,-4174.139411315041,0.02305342083333668,0.009249876186800399,2
10940.0,life_expectancy,5,0.612382981622967,0.001,0.03725072081239572,0.078,65,-0.009722914128607485,0.005797863399713189,4.504067366811476e-19,0.004554245822905665,0.007041480976520713,-4185.430613297693,-3865.5576129117326,-4174.139411315041,0.02305342083333668,0.009249876186800399,2
10980.0,life_expectancy,5,0.612382981622967,0.001,0.03725072081239572,0.078,65,0.011251909931862869,0.005797863399713189,4.504067366811476e-19,0.004554245822905665,0.007041480976520713,-4185.430613297693,-3865.5576129117326,-4174.139411315041,0.02305342083333668,0.009249876186800399,2
11020.0,life_expectancy,5,0.612382981622967,0.001,0.03725072081239572,0.078,65,-0.008466026316287234,0.005797863399713189,4.504067366811476e-19,0.004554245822905665,0.007041480976520713,-4185.430613297693,-3865.5576129117326,-4174.139411315041,0.02305342083333668,0.009249876186800399,2
11060.0,life_expectancy,5,0.612382981622967,0.001,0.03725072081239572,0.078,65,0.0002214172902608169,0.005797863399713189,4.504067366811476e-19,0.004554245822905665,0.007041480976520713,-4185.430613297693,-3865.5576129117326,-4174.139411315041,0.02305342083333668,0.009249876186800399,2
11100.0,life_expectancy,5,0.612382981622967,0.001,0.03725072081239572,0.078,65,-0.006185632066659785,0.005797863399713189,4.504067366811476e-19,0.004554245822905665,0.007041480976520713,-4185.430613297693,-3865.5576129117326,-4174.139411315041,0.02305342083333668,0.009249876186800399,2
11140.0,life_expectancy,5,0.612382981622967,0.001,0.03725072081239572,0.078,65,0.009734913676705759,0.005797863399713189,4.504067366811476e-19,0.004554245822905665,0.007041480976520713,-4185.430613297693,-3865.5576129117326,-4174.139411315041,0.02305342083333668,0.009249876186800399,2
11180.0,life_expectancy,5,0.612382981622967,0.001,0.03725072081239572,0.078,65,0.026440116581749606,0.005797863399713189,4.504067366811476e-19,0.004554245822905665,0.007041480976520713,-4185.430613297693,-3865.5576129117326,-4174.139411315041,0.02305342083333668,0.009249876186800399,2
11200.0,life_expectancy,5,0.612382981622967,0.001,0.03725072081239572,0.078,65,0.013615286858401632,0.005797863399713189,4.504067366811476e-19,0.004554245822905665,0.007041480976520713,-4185.430613297693,-3865.5576129117326,-4174.139411315041,0.02305342083333668,0.009249876186800399,2
11220.0,life_expectancy,5,0.612382981622967,0.001,0.03725072081239572,0.078,65,-0.023294286110123963,0.005797863399713189,4.504067366811476e-19,0.004554245822905665,0.007041480976520713,-4185.430613297693,-3865.5576129117326,-4174.139411315041,0.02305342083333668,0.009249876186800399,2
11360.0,life_expectancy,5,0.612382981622967,0.001,0.03725072081239572,0.078,65,0.018287754902137188,0.005797863399713189,4.504067366811476e-19,0.004554245822905665,0.007041480976520713,-4185.430613297693,-3865.5576129117326,-4174.139411315041,0.02305342083333668,0.009249876186800399,2
11380.0,life_expectancy,5,0.612382981622967,0.001,0.03725072081239572,0.078,65,0.03507499221858801,0.005797863399713189,4.504067366811476e-19,0.004554245822905665,0.007041480976520713,-4185.430613297693,-3865.5576129117326,-4174.139411315041,0.02305342083333668,0.009249876186800399,2
11420.0,life_expectancy,5,0.612382981622967,0.001,0.03725072081239572,0.078,65,0.037414860507590575,0.005797863399713189,4.504067366811476e-19,0.004554245822905665,0.007041480976520713,-4185.430613297693,-3865.5576129117326,-4174.139411315041,0.02305342083333668,0.009249876186800399,2
11460.0,life_expectancy,5,0.612382981622967,0.001,0.03725072081239572,0.078,65,0.030618031794564793,0.005797863399713189,4.504067366811476e-19,0.004554245822905665,0.007041480976520713,-4185.430613297693,-3865.5576129117326,-4174.139411315041,0.02305342083333668,0.009249876186800399,2
11500.0,life_expectancy,5,0.612382981622967,0.001,0.03725072081239572,0.078,65,-0.01590054336407043,0.005797863399713189,4.504067366811476e-19,0.004554245822905665,0.007041480976520713,-4185.430613297693,-3865.5576129117326,-4174.139411315041,0.02305342083333668,0.009249876186800399,2
11540.0,life_expectancy,5,0.612382981622967,0.001,0.03725072081239572,0.078,65,-0.003399960062191454,0.005797863399713189,4.504067366811476e-19,0.004554245822905665,0.007041480976520713,-4185.430613297693,-3865.5576129117326,-4174.139411315041,0.02305342083333668,0.009249876186800399,2
11580.0,life_expectancy,5,0.612382981622967,0.001,0.03725072081239572,0.078,65,0.01589037527668058,0.005797863399713189,4.504067366811476e-19,0.004554245822905665,0.007041480976520713,-4185.430613297693,-3865.5576129117326,-4174.139411315041,0.02305342083333668,0.009249876186800399,2
11620.0,life_expectancy,5,0.612382981622967,0.001,0.03725072081239572,0.078,65,-0.024152507740118345,0.005797863399713189,4.504067366811476e-19,0.004554245822905665,0.007041480976520713,-4185.430613297693,-3865.5576129117326,-4174.139411315041,0.02305342083333668,0.009249876186800399,2
11680.0,life_expectancy,5,0.612382981622967,0.001,0.03725072081239572,0.078,65,0.0007347241115081005,0.005797863399713189,4.504067366811476e-19,0.004554245822905665,0.007041480976520713,-4185.430613297693,-3865.5576129117326,-4174.139411315041,0.02305342083333668,0.009249876186800399,2
