factor,cbsacode,adf_p_original,adf_p_final,detrend_applied
Park_Area_Acres,38060,0.9373118326758227,0.10347911948423966,linear
Park_Area_Acres,38300,0.48057613386380543,0.0004231401530432042,linear
Park_Area_Acres,38860,0.022776242301871936,0.022776242301871936,no
Park_Area_Acres,38900,1.0,1.0,linear
Park_Area_Acres,39300,0.9989818846753951,0.28345066431655774,linear
Park_Area_Acres,39340,0.8534176137322613,0.8403899243906057,linear
Park_Area_Acres,39660,0.8351949140171397,9.674129769667245e-08,linear
Park_Area_Acres,39900,0.9988954049775585,0.788508496054855,linear
Park_Area_Acres,40060,1.0,0.04870906662472189,linear
Park_Area_Acres,41180,0.6442110723067301,8.55092878044628e-05,linear
Park_Area_Acres,41620,0.9905884831668885,0.10451559811965688,linear
Park_Area_Acres,41700,0.02858962814756938,0.02858962814756938,no
Park_Area_Acres,42660,1.0,0.001255575305928029,linear
Park_Area_Acres,43580,0.34867003660914486,0.9935091753350004,linear
Park_Area_Acres,43620,0.9964215159389039,0.9935511185408026,linear
Park_Area_Acres,44060,1.0,1.0,linear
Park_Area_Acres,44140,1.0,0.30868355095526323,linear
Park_Area_Acres,45780,0.9897004972826497,0.8359661895950485,linear
Park_Area_Acres,45820,0.9353909472185826,0.21812787048639537,linear
Park_Area_Acres,46140,0.9947520728537856,8.774346962790748e-17,linear
Park_Area_Acres,47260,0.999082184211094,0.4927067740724899,linear
Park_Area_Acres,48620,0.9855937598631899,0.006228109766538887,linear
Park_Area_Acres,49340,0.9975303397235441,0.6759465097273134,linear
Weighted_RESP,10740,1.0,0.9990644915609173,linear
Weighted_RESP,11260,0.9422452332877409,0.23592866394314999,linear
Weighted_RESP,12060,0.05055800407717118,0.3859071404639239,linear
Weighted_RESP,12260,0.7364464836618826,0.7191681875532905,linear
Weighted_RESP,12420,0.9030274076621838,0.18361980730748112,linear
Weighted_RESP,12580,1.0,0.6090731264860194,linear
Weighted_RESP,12940,0.9792398325940098,0.36093354132074995,linear
Weighted_RESP,13740,0.013996224367751858,0.013996224367751858,no
Weighted_RESP,13820,0.998999913318114,1.0,linear
Weighted_RESP,13900,1.9403222772652204e-10,1.9403222772652204e-10,no
Weighted_RESP,14260,1.0,1.300001892999475e-18,linear
Weighted_RESP,14460,0.9521824584298226,0.837490792275558,linear
Weighted_RESP,15540,0.9654772677063687,0.08107161627674453,linear
