cbsacode,TotalPopulation,BINGE,65older,CANCER,CSMOKING,DEPRESSION,DIABETES,DISABILITY,LPA,MOBILITY,OBESITY,SELFCARE,VISION,smoking_pop,obesity_pop,drinking_pop,diabetes_pop,edu_college,physical_inactivity,unemployment,children_single_parent,mental_health_providers,median_household_income,driving_alone_to_work,sti,life_total,FFR20,gdp,coverage_50,coverage_60,coverage_70,coverage_80,coverage_90,noise50n,noise60n,noise70n,noise80n,noise90n,Park_Area_Acres,road_network_total,auto_net_total,multimodal_net_total,pedestrian_net_total,street_intersection_total,auto_intersections_total,multimodal_3leg_intersections_total,multimodal_4leg_intersections_total,pedestrian_3leg_intersections_total,pedestrian_4leg_intersections_total,Ac_Land
34420.0,56007,9055.479,10255.0,4370.749,9767.485,13144.521,8948.935000000001,21520.343,18062.095,10788.225,22307.379,3099.51,4525.954,11278.823,22766.11,10534.0035591222,7837.251,6593.0,19923.661,1805.0,4647.0,32.0,141225.0,19868.0,783.8000000000001,4402270.731325036,42.0,3758969.0,82997.67347278708,20663.052662902104,5395.026526729248,1982.193481687953,105.99999982863663,6231.551431301785,1252.9448366530733,319.33045785812,105.51845096907505,7.100616849753441,1624.693287,957225.7555247152,222040.6824217731,402683.6539969514,332501.41909462324,1338776.959971992,457599.99996331,760319.9999556778,82559.99999293024,850559.9999714534,181760.00001417112,385214.2687097
34460.0,47446,6281.603,8315.0,4292.6050000000005,10115.44,13427.102,6819.491,19630.027000000002,14127.780999999999,9223.099000000002,19639.045000000002,2313.592,3129.462,12702.118,18850.984,6871.719591752801,5746.984,5303.0,16763.116,1485.0,2537.0,188.0,133785.0,15587.0,830.2,3502489.627073533,-9972.0,1596453.0,24718.49274689592,8460.598819847613,1539.2468787064522,3.00000002421439,0.0,1549.697847875814,549.8283958175975,111.2325228717527,0.5565176563074518,0.0,99.30248008,970874.5665923896,160127.26146271394,630179.2648439379,180568.04037994344,961076.4799795648,374399.9999524382,1050239.9998904257,63360.00002815427,259199.99995427433,24320.00001994163,435018.9097454
34500.0,36400,6661.2,7378.0,3385.2000000000003,6406.400000000001,8008.0,4659.2,11538.8,9209.2,5569.2,14050.4,1528.8,2002.0,7782.115,13516.305,8089.415771497501,3835.205,5566.0,10798.15,1714.0,2358.0,98.0,58114.0,13210.0,573.2,2804414.816536575,31.0,2219454.0,87176.38249509592,24022.606978720403,6542.965141376627,843.6347340550271,123.0000000703148,5092.133230916263,1198.302220230297,300.98718232769653,39.185518765653576,5.018287650107429,107.3219902,1024914.0520502531,221284.54150090605,609171.2247571521,194458.28581481063,1236895.9999493435,321919.9999795105,676479.9999628394,144640.00001850328,571519.9999929368,259840.00000846392,365562.7313828
34540.0,63183,10551.561,11787.0,6128.751,10109.28,16680.311999999998,7455.594,19270.815,16238.031,8087.424,21671.769,1895.49,2843.235,13545.791,22971.664,11503.5504814042,6429.5689999999995,8303.0,17728.131999999998,1929.0,2921.0,142.0,68050.0,22856.0,247.1,4875092.760745998,54.0,2674874.0,15641.569886204985,2059.7424534681063,41.6535904854536,8.0,2.0,2001.3335404941656,333.4728040452253,3.798241198180535,0.6878681976614085,0.5519043136871705,522.0189833,987913.9833759852,145456.16067288327,592431.6513100044,250026.1713836443,1687007.3600007505,299519.99999780883,993919.9999590794,176639.99999314238,828159.999954527,295040.00000335986,336316.1364801
34580.0,131179,21644.535,28615.0,13511.437000000002,14560.869,36598.941,13773.795,41714.922000000006,24530.473,17315.627999999997,47617.97699999999,4591.265,6034.2339999999995,21057.029,39236.7,23511.653344585506,11901.799,19289.0,26550.167,6124.0,5902.0,657.0,78798.0,43783.0,382.3,10493856.844785348,79.0,8619679.0,75729.8098110838,18692.553746994978,4412.507533866454,547.0691439583162,43.12035448697866,12444.72566585866,2826.4125360428693,625.9282994009741,60.877444390398665,5.5537095385898745,18688.8333,1909431.496581704,99491.39629721748,178779.45512559684,1631160.6453067486,2765200.640035828,109440.0002437672,482560.00024056906,102399.99973036154,2639360.000171837,580479.9999964308,1107317.3943869
34620.0,112031,18485.115,20080.0,8850.449,22070.106999999996,34057.424,13891.844,41115.377,31816.804,18036.991,41675.532,4929.3640000000005,6609.829000000001,25527.15,44247.060000000005,22021.442105355,13387.572,15917.0,35851.464,3833.0,6507.0,341.0,46612.0,40593.0,627.3,8415807.104675125,90.0,5086293.0,74569.77981610277,18877.21847405196,3433.5416681315996,525.8404571820283,39.26378832012412,23219.992710338956,3758.865924003451,492.3791507142773,51.780133755309265,6.9036228102904955,2361.618199,1038503.836954012,107363.837555118,539746.9496285745,391393.0497969787,2786997.760017583,136959.99999250713,762240.0000143672,240639.9999998689,1831039.999946,816640.0000043847,250939.0137937
34660.0,37685,5313.585,7042.0,3052.485,5728.12,10777.91,4672.9400000000005,14357.985,9685.045,6029.6,14546.41,1469.715,2110.36,8921.1,15287.7,6006.32984172,4519.5,5892.0,12929.7,1113.0,1663.0,30.0,47438.0,14010.0,407.7,3017133.6798873,25.0,1722614.0,14440.784192508445,5372.517648461251,511.6385166364756,30.0,18.0,2104.7846071613176,656.9711799086298,31.83560229224329,1.4086463015551909,0.274520390188375,134.9608083,764767.6110899115,112461.63512268336,544822.1464996221,107483.8295173057,1173168.6399927177,238719.9999580297,1034880.000027664,112640.00000688263,391040.0000041625,109440.00000660248,246414.1156281
34680.0,64722,9125.802,18901.0,7184.142,9643.578,12491.346,9967.188,21876.035999999996,17086.608,11779.404,21487.704000000005,3041.934,4142.2080000000005,12163.776,23947.434,13000.3967057647,7665.713,7148.0,18435.723,1965.0,4226.0,60.0,57991.0,20103.0,593.5,4767419.307926887,38.0,3395496.0,35512.92890810948,7518.184287850434,1377.4525912146396,32.99999997019768,9.999999970197678,2452.2034849359225,652.3015263950475,71.82900253697436,1.863274218235309,1.4749456307516031,8664.012162,,,,,,,,,,,
34700.0,42377,9831.464,7490.0,3602.045,6737.943,8051.63,5212.371,11950.313999999998,11145.151000000002,5339.5019999999995,15933.752,1567.949,2076.4730000000004,7206.98,16406.478,9117.2687407428,4239.400000000001,5952.0,11700.744,1257.0,2589.0,35.0,62877.0,17906.0,379.7,3292163.21541624,38.0,3076816.0,35276.15021087319,10014.284509515286,2768.099685316483,153.99999999953437,47.99999995809048,3069.57934878489,719.6491185497828,180.24815275027396,6.2982894921154315,1.111926980392524,523.8789758,701828.4115605439,123500.41501803542,71276.01859053293,507051.9779789299,1070008.3199866666,188160.00004328284,142080.00000161713,55679.99997440883,922880.00000756,303999.99995287653,279958.6555043
34740.0,176565,30545.745,31433.0,15361.155,35489.565,47849.115,23306.58,62857.14,48025.68,29486.355,75569.81999999999,8121.989999999999,10593.9,40166.973000000005,69727.083,35836.1386722,17909.949,25631.0,52686.549,8859.0,11579.0,402.0,58445.0,63357.0,761.1,13254281.59333164,121.0,7483302.0,50631.78449492584,11489.365127109815,2342.700607997306,19.99999999254942,1.0,13385.578835207534,2985.6715041593116,533.6322903977074,7.03418589630766,0.693792876423728,3818.768184,1301794.5148477792,213303.2664983558,359294.57954888063,729196.6688010179,3043281.9200394764,355200.00003088877,581760.0000164582,228480.00002477935,2224000.000050176,943360.0000072338,322497.6571048
