cbsacode,TotalPopulation,BINGE,CSMOKING,DEPRESSION,DIABETES,LPA,OBESITY,adult_smoking,adult_obesity,excessive_drinking,diabetes_prevalence,some_college,unemployment,children_single_parent,mental_health_providers,median_household_income,driving_alone_to_work,sti,FFR20,gdp,coverage_50,coverage_60,coverage_70,coverage_80,coverage_90,noise50n,noise60n,noise70n,noise80n,noise90n,Park_Area_Acres
11700.0,413463,69051.796,49192.482,96097.56,44407.919,84880.77900000001,118559.747,57665.837000331085,96393.7360004685,62466.3714825821,30121.0520001925,70418.0,15645.0,15794.0,2180.0,176079.0,149026.0,1058.5,345.0,24223081.0,108106.3571425849,34857.83060761892,7350.377335332095,387.9999999435857,5.000000044703478,26325.927642284674,9261.628651366924,1689.7291335435086,75.68654789906923,3.0896029671361873,3743.622962
11740.0,52181,8714.226999999999,10644.924,14193.232,7305.34,15758.662,20872.4,9806.271999799255,14169.231999709946,8105.891830267666,4196.7519999140895,6530.0,1709.0,2443.0,126.0,55699.0,20895.0,205.7,33.0,2226041.0,40021.611489644616,10917.24238197639,2992.029913631101,268.7121998630464,11.99999997019768,2725.0174216857513,535.7438112311211,97.97567774610538,10.522406799759622,0.6431724273778175,434.91343
11820.0,41695,7421.71,5128.485000000001,10548.835,4669.839999999999,7546.795000000001,12591.89,5806.239999944683,9831.019999906335,7370.66149181078,2771.159999973599,6144.0,1823.0,1166.0,151.0,63238.0,13111.0,338.1,37.0,2379347.0,25329.50242713649,7809.485885706805,432.99533661144983,37.0,8.0,2055.964893044016,601.6764501237072,13.31992148682748,0.416305544202419,0.0431254647072516,7327.858196
11860.0,16108,2786.684,2561.172,3495.4359999999997,1916.852,4059.216,6201.58,2540.565000044485,4535.838000079421,2365.7189271408233,1189.728000020832,2035.0,471.0,550.0,27.0,56691.0,6306.0,280.0,6.0,725633.0,25344.44023044368,6324.8571755440835,1052.390891401492,318.00000007313827,55.0000000079162,1862.1726007182897,360.6271323400467,70.74701942673511,8.31874125864108,1.520932223939532,326.5377336
11900.0,58979,11323.968,8905.829,16809.015,6664.627,13211.295999999998,20701.629,14017.99999977195,19232.695999687116,11079.291426252556,6616.49599989236,9830.0,1993.0,2049.0,366.0,42215.0,20262.0,805.2,69.0,2461866.0,24636.83178112671,6947.853494688948,1287.4639158958944,49.999999936670065,24.999999977648255,3042.220767975991,587.2882382631448,147.43355693412587,3.4204305856041,1.83603368142328,4061.417975
11940.0,67991,9966.502,12931.562000000002,20150.249,9789.073,19078.927000000003,27134.933,14039.359999445061,19635.739999220692,8079.941335301368,6354.5049997478545,7555.0,2263.0,2903.0,43.0,99539.0,22540.0,741.6,40.0,2873299.0,39355.444405189715,13347.86018935539,2581.413867262423,322.4636280663762,7.99999997019768,2746.7228286058903,805.2682784242241,144.33846132296932,17.500444228553,0.3274054352927152,262.7056893
11980.0,84511,13437.249000000002,14873.936000000002,20789.706,13014.694,24930.745,31184.559,14393.66800038682,23703.33400063701,12316.354865301191,7857.094000211154,8905.0,2377.0,3771.0,50.0,52660.0,25501.0,264.7,67.0,2324068.0,46149.97119117859,11805.592414205454,3035.972593869192,105.99999999627468,27.99999998509884,2534.4849096345124,601.1682716441898,111.00037880611478,4.501803103647236,0.7011288821877881,399.8431213
12020.0,220405,35589.152,30876.591,50437.189,24764.894,55070.043,76180.52799999999,31949.944000999953,59832.78900188113,32819.449185908736,21010.163000730507,38940.0,5471.0,12711.0,491.0,257509.0,75181.0,1420.8999999999999,174.0,12915359.0,70008.1076337676,17464.56676870535,2196.813538775829,172.00000000034925,37.9999999984866,17250.312335772916,4293.85548298757,761.288991683222,45.84706756238663,8.383150320935286,2668.543057
12060.0,6237435,981584.894,790613.075,1202093.648,726670.758,1411400.761,2164288.891,741569.217995776,1501001.097991211,831541.2502775872,528676.0829963743,1164723.0,209740.0,408810.0,10845.0,1988654.0,2184102.0,12826.5,5345.0,534892069.0,1295021.339160719,330655.2611686826,70709.3552110008,12637.007581806743,742.000000502361,658901.6406467794,164865.48772118517,38628.93261676191,8411.143736143504,261.18120652955855,139783.192
12100.0,371272,57237.729999999996,48839.164000000004,64899.494000000006,44923.912,96834.40800000001,120989.616,50569.53671770677,86694.65600155815,51926.27436609231,28696.088000478532,50214.0,27777.0,19673.0,598.0,137206.0,126280.0,835.6,377.0,24345236.0,189516.23187876013,44984.77092283163,8544.465744348272,1002.1878580031414,156.0000000838186,49653.656670843455,9280.185580597356,1266.7557870935264,103.4756548082322,15.978818237462317,17415.70591
12140.0,43731,7128.153,7609.194,10626.633,5029.0650000000005,11851.101,16442.856,7224.519999570104,12195.519999274304,6113.158218946236,3347.139999800828,5846.0,1525.0,2005.0,27.0,62411.0,18264.0,303.6,28.0,3398804.0,84501.72701773897,18681.22615448349,3858.3694188546815,549.6829355161176,63.0,6507.151872776931,1202.2296832824404,250.1601797465718,29.70729063850339,2.377747481706844,309.4241533
12180.0,74998,13724.634000000002,13199.648,17249.54,8774.766,20924.442,30524.186,12775.984000781038,20822.397001272944,14242.036291133563,5589.493000341704,10881.0,2799.0,3785.0,157.0,59335.0,29098.0,347.4,47.0,3666333.0,36532.44000247901,8353.028673040917,2138.1196119503584,129.87691283179444,9.99999999441206,4218.484177702372,777.0152819009161,134.87591600377937,43.20184579806714,0.3476356379064701,234.6589322
12220.0,199289,30923.408,30736.312,49517.219999999994,24529.127,54482.412,69799.407,27676.865998786354,50303.963997783685,21965.91451104207,18287.555999215245,33799.0,4708.0,10926.0,253.0,96699.0,67712.0,1677.2,165.0,8596443.0,75021.81178859559,20896.991331428573,4768.250166084335,439.6940154086705,20.99999998509884,18053.15050853634,4475.613086040551,711.6146699780236,83.31971298642573,1.387105637926303,753.5736954
12260.0,624083,93718.811,105688.052,132612.22199999998,86131.22499999999,178078.144,247286.16399999996,91822.63899923244,172156.94599852082,90798.13684584417,59578.8519995144,96674.0,15464.0,48565.0,1136.0,384709.0,218260.0,4568.7,452.0,34825921.0,231711.50455973955,55687.93951220601,9778.653212282696,683.2276258825914,63.000000016763764,34433.790054790465,9060.686995330369,1531.9767615940323,40.122342385279644,4.028891232288886,3976.123756
12300.0,125540,20211.94,19333.16,32389.32,13432.78,29627.44,42181.44,19728.125999552816,33876.57999923211,19725.79792126567,8269.870999812545,18770.0,3044.0,4630.0,636.0,53876.0,46586.0,292.7,87.0,7438652.0,56399.68015816462,18552.543901498695,3451.6175985101054,48.81550134718418,9.0,6166.800794298472,1725.5786439135145,314.2784077832304,6.702541033010692,3.526121446338053,621.6060933
12380.0,40140,8188.56,6582.96,9633.6,4897.08,10235.7,16176.42,5702.280000190951,10504.20000035175,6688.846622085188,2821.1280000944703,5947.0,1040.0,2426.0,47.0,61565.0,14715.0,421.8,20.0,2632735.0,27136.937165958818,6897.030959413129,2089.639338390644,86.00000005960467,8.999999970197678,2284.5286066129333,458.95869767270653,112.86997027846084,6.890732120100292,0.2055475739771787,786.2503656
12420.0,2421115,504686.50800000003,298338.011,533787.118,264700.353,515123.62600000005,745789.436,220311.54099501568,509570.268988876,372466.93005060457,180600.79999600071,534335.0,76673.0,104365.0,5282.0,392363.0,839586.0,2137.9,1692.0,227703434.0,515118.4424688206,149559.47525836568,46558.16541866517,6696.393935080882,333.9999997110196,255097.39238771447,73828.79478060472,22763.419503266327,4618.3383784551115,191.1061681479295,110240.4282
12460.0,28982,3883.588,5419.634,6115.202000000001,4695.084,9448.132,11534.836,4465.351999794238,7749.287999642916,3156.163588732965,2923.5039998652856,3330.0,541.0,2932.0,19.0,42996.0,8353.0,1068.0,24.0,1332904.0,25352.635095602753,5460.8472833240585,514.231975558927,115.00000001490112,17.0,1106.011218920967,183.31140495038795,16.815289529263538,2.714604641383586,1.0604752711550491,441.1485811
