Year,cbsacode,v051_rawvalue,v052_rawvalue,v009_rawvalue,v011_rawvalue,v049_rawvalue,v060_rawvalue,v070_numerator,v069_numerator,v023_numerator,v082_numerator,v062_numerator,v063_rawvalue,v067_numerator,v045_rawvalue,Data_value,Sample_Size
2012,21820.0,98660.0,25651.600000000002,15404.7724,20077.31,15112.7388,4380.504,0.0,18434.0,3295.0,6831.0,23.0,60472.0,34755.0,700.2,17.8,112.0
2012,22020.0,143339.0,31104.563,19753.260912,31650.111234,25701.686073000004,7070.769531000001,0.0,33075.0,3360.0,7782.0,103.0,50932.0,69582.0,298.7,16.54,128.0
2011,22020.0,143339.0,31104.563,20426.667534,30976.704612000005,26487.327132,7183.003968000001,0.0,30461.0,3601.0,7384.0,103.0,46942.0,65831.0,330.9,20.79,186.0
2011,22140.0,124131.0,35377.335,22365.92358000001,24939.779865000004,11715.483780000002,7455.307860000001,0.0,15703.0,4337.0,12169.0,6.0,45971.0,42709.0,595.1,16.67,144.0
2012,22140.0,124131.0,35377.335,21389.633265000004,26448.59217,11449.222785000002,7632.81519,0.0,16277.0,5406.0,13986.0,6.0,44155.0,43863.0,596.7,19.06,127.0
2012,22660.0,298382.0,63256.984,39501.002688,43733.252976,40206.377736,11756.250800000002,0.0,59085.0,13058.0,14520.0,188.0,54739.0,112454.0,245.9,17.6,106.0
2011,22660.0,298382.0,63256.984,38560.502624,39971.25272,41617.127832,10815.750736,0.0,53153.0,11578.0,14561.0,188.0,56701.0,111359.0,263.3,14.29,108.0
2011,24260.0,57487.0,16268.820999999998,8161.199442000002,13148.599101000002,6800.999535000001,3668.4179309999995,0.0,7230.0,1361.0,4939.0,12.0,46353.0,22883.0,244.7,21.43,163.0
2012,24260.0,57487.0,16268.820999999998,7707.799473,13107.380922000002,7048.3086090000015,3627.199752,0.0,7677.000000000001,1416.0,5577.0,12.0,46807.0,24123.0,264.2,14.020000000000001,97.0
2012,24340.0,608315.0,156945.27000000002,85760.2487,136765.02819,78989.70275,40623.2757,0.0,110155.0,31413.0,49293.0,248.0,47897.00000000001,231229.0,488.3,17.96,100.0
2011,24340.0,608315.0,156945.27000000002,89371.20654000001,131348.59142999997,81697.92113,38817.79678,0.0,116015.0,34186.0,46350.0,248.0,50746.0,236478.0,559.0,21.58,182.0
2011,24500.0,82178.0,18818.762,11721.459030000002,15396.294833999998,10010.759604,5132.098278,0.0,13063.0,1975.0000000000002,5221.000000000001,8.0,42528.0,31786.0,415.7,23.07,162.0
2012,24500.0,82178.0,18818.762,11721.459030000002,16156.60569,10200.837318,5448.894468,0.0,13189.0,2476.0,5088.0,8.0,41827.00000000001,30592.999999999996,374.3,21.6,152.0
2012,24540.0,254759.0,70313.48400000001,33753.529428,46664.715548,29880.173592,10697.839928,0.0,41330.0,12188.0,15627.0,59.0,52334.0,91550.0,339.1,18.55,96.0
