cbsacode,year,gdp
11260.0,2011,22852724.0
11260.0,2012,23400011.0
11260.0,2013,23521010.0
11260.0,2014,24069105.0
11260.0,2015,25096824.0
11260.0,2016,25726817.0
11260.0,2017,25842697.0
11260.0,2018,26668168.0
11260.0,2019,27247439.0
11260.0,2020,26821382.0
11260.0,2021,29069153.0
11260.0,2022,31733418.0
11360.0,2011,1914345.0
11360.0,2012,1965988.0
11360.0,2013,2053946.0
11360.0,2014,2181260.0
11360.0,2015,2278037.0
11360.0,2016,2399860.0
11360.0,2017,2525886.0
11360.0,2018,2636154.0
11360.0,2019,2745607.0
11360.0,2020,2799995.0
11360.0,2021,3104965.0
11360.0,2022,3396721.0
11380.0,2011,4274684.0
11380.0,2012,4915063.0
11380.0,2013,5008000.0
11380.0,2014,4680203.0
11380.0,2015,2615858.0
11380.0,2016,2317852.0
11380.0,2017,2663256.0
11380.0,2018,3259174.0
11380.0,2019,2778306.0
11380.0,2020,1804344.0
11380.0,2021,3666701.0
11380.0,2022,5221398.0
11420.0,2011,1112195.0
11420.0,2012,1183100.0
11420.0,2013,1267116.0
11420.0,2014,1321926.0
11420.0,2015,1322306.0
11420.0,2016,1347214.0
11420.0,2017,1401064.0
11420.0,2018,1484983.0
11420.0,2019,1532726.0
11420.0,2020,1475700.0
11420.0,2021,1660097.0
11420.0,2022,1826621.0
11460.0,2011,18600200.0
11460.0,2012,19565911.0
11460.0,2013,20159243.0
11460.0,2014,20872596.0
11460.0,2015,22203082.0
11460.0,2016,22988134.0
11460.0,2017,24040003.0
11460.0,2018,25061817.0
11460.0,2019,26602782.0
11460.0,2020,26576769.0
11460.0,2021,28655021.0
11460.0,2022,30788836.0
11500.0,2011,4071263.0
11500.0,2012,4135517.0
11500.0,2013,4073416.0
11500.0,2014,4008257.0
11500.0,2015,4032124.0
11500.0,2016,4124669.0
11500.0,2017,4244400.0
11500.0,2018,4456595.0
11500.0,2019,4764311.0
11500.0,2020,4718287.0
11500.0,2021,5235064.0
11500.0,2022,5453593.0
11540.0,2011,10552843.0
11540.0,2012,11211569.0
11540.0,2013,11329384.0
11540.0,2014,12007888.0
11540.0,2015,12866699.0
11540.0,2016,13392403.0
11540.0,2017,13810008.0
11540.0,2018,14503217.0
11540.0,2019,15191240.0
11540.0,2020,14832282.0
11540.0,2021,15842964.0
11540.0,2022,17290266.0
11580.0,2011,809451.0
11580.0,2012,777922.0
11580.0,2013,828140.0
11580.0,2014,851888.0
11580.0,2015,862561.0
11580.0,2016,887781.0
11580.0,2017,932062.0
11580.0,2018,914976.0
11580.0,2019,1017336.0
11580.0,2020,983707.0
11580.0,2021,1090932.0
11580.0,2022,1240574.0
11620.0,2011,3284754.0
11620.0,2012,3438422.0
11620.0,2013,3103687.0
11620.0,2014,3275615.0
11620.0,2015,2821136.0
11620.0,2016,2608974.0
11620.0,2017,2795529.0
11620.0,2018,2879896.0
11620.0,2019,3008080.0
11620.0,2020,2521050.0
11620.0,2021,2980793.0
11620.0,2022,3613979.0
11660.0,2011,666363.0
11660.0,2012,703674.0
11660.0,2013,753554.0
11660.0,2014,779469.0
11660.0,2015,747056.0
11660.0,2016,763031.0
11660.0,2017,778588.0
11660.0,2018,839427.0
11660.0,2019,828301.0
11660.0,2020,844037.0
11660.0,2021,946924.0
11660.0,2022,981584.0
11680.0,2011,1104049.0
11680.0,2012,1143941.0
11680.0,2013,1139208.0
11680.0,2014,1238741.0
11680.0,2015,1336464.0
11680.0,2016,1344823.0
11680.0,2017,1364357.0
11680.0,2018,1408996.0
11680.0,2019,1332368.0
11680.0,2020,1331555.0
11680.0,2021,1476211.0
11680.0,2022,1581370.0
11700.0,2011,13590937.0
11700.0,2012,13802354.0
11700.0,2013,14509884.0
11700.0,2014,15413282.0
11700.0,2015,16103727.0
11700.0,2016,16975328.0
11700.0,2017,18053108.0
11700.0,2018,19089585.0
11700.0,2019,20317731.0
11700.0,2020,19616022.0
11700.0,2021,21790711.0
11700.0,2022,24223081.0
11740.0,2011,1500085.0
11740.0,2012,1500703.0
11740.0,2013,1591034.0
11740.0,2014,1635826.0
11740.0,2015,1661672.0
11740.0,2016,1674383.0
11740.0,2017,1729937.0
11740.0,2018,1780643.0
11740.0,2019,1844299.0
11740.0,2020,1921334.0
11740.0,2021,2069203.0
11740.0,2022,2226041.0
11820.0,2011,1434201.0
11820.0,2012,1487413.0
11820.0,2013,1531939.0
11820.0,2014,1597095.0
11820.0,2015,1671504.0
11820.0,2016,1737539.0
11820.0,2017,1843207.0
11820.0,2018,1951707.0
11820.0,2019,1982996.0
11820.0,2020,2048189.0
11820.0,2021,2246904.0
11820.0,2022,2379347.0
11860.0,2011,543666.0
11860.0,2012,513355.0
11860.0,2013,541310.0
11860.0,2014,573189.0
11860.0,2015,605572.0
11860.0,2016,624176.0
11860.0,2017,721355.0
11860.0,2018,733008.0
11860.0,2019,736162.0
11860.0,2020,722357.0
11860.0,2021,766721.0
11860.0,2022,725633.0
11900.0,2011,1706547.0
11900.0,2012,1788963.0
11900.0,2013,1859505.0
11900.0,2014,1897742.0
11900.0,2015,2033022.0
11900.0,2016,2052418.0
11900.0,2017,2154845.0
11900.0,2018,2122335.0
11900.0,2019,2231277.0
11900.0,2020,2214044.0
11900.0,2021,2292784.0
11900.0,2022,2461866.0
11940.0,2011,1741518.0
11940.0,2012,1932705.0
11940.0,2013,1981625.0
11940.0,2014,2062712.0
11940.0,2015,2163438.0
11940.0,2016,2283795.0
11940.0,2017,2350427.0
11940.0,2018,2388704.0
11940.0,2019,2445716.0
11940.0,2020,2497500.0
11940.0,2021,2699834.0
11940.0,2022,2873299.0
11980.0,2011,1548350.0
11980.0,2012,1558848.0
11980.0,2013,1619622.0
11980.0,2014,1682892.0
11980.0,2015,1586263.0
11980.0,2016,1622580.0
11980.0,2017,1721227.0
11980.0,2018,1793311.0
11980.0,2019,1910487.0
11980.0,2020,1979221.0
11980.0,2021,2064503.0
11980.0,2022,2324068.0
12020.0,2011,7171104.0
12020.0,2012,7706416.0
12020.0,2013,8035297.0
12020.0,2014,8394566.0
12020.0,2015,8934140.0
12020.0,2016,9271990.0
12020.0,2017,9980019.0
12020.0,2018,10574801.0
12020.0,2019,10749088.0
12020.0,2020,10589277.0
12020.0,2021,11591638.0
12020.0,2022,12915359.0
12060.0,2011,282418574.0
12060.0,2012,294208439.0
12060.0,2013,307944632.0
12060.0,2014,327954117.0
12060.0,2015,352190929.0
12060.0,2016,376578400.0
12060.0,2017,398606406.0
12060.0,2018,420938318.0
12060.0,2019,447126476.0
12060.0,2020,439345708.0
12060.0,2021,484082626.0
12060.0,2022,534892069.0
12100.0,2011,17802041.0
12100.0,2012,17839703.0
12100.0,2013,18353985.0
12100.0,2014,18839188.0
12100.0,2015,18893443.0
12100.0,2016,18755732.0
12100.0,2017,18920094.0
12100.0,2018,19497168.0
12100.0,2019,20131563.0
12100.0,2020,19489024.0
12100.0,2021,21990480.0
12100.0,2022,24345236.0
12140.0,2011,1932049.0
12140.0,2012,2079386.0
12140.0,2013,2261129.0
12140.0,2014,2303542.0
12140.0,2015,2395882.0
12140.0,2016,2449976.0
12140.0,2017,2459089.0
12140.0,2018,2606919.0
12140.0,2019,2662923.0
12140.0,2020,2490312.0
12140.0,2021,2956602.0
12140.0,2022,3398804.0
12180.0,2011,2483721.0
12180.0,2012,2551002.0
12180.0,2013,2702961.0
12180.0,2014,2829447.0
12180.0,2015,2820185.0
12180.0,2016,2772059.0
12180.0,2017,2802820.0
12180.0,2018,2863848.0
12180.0,2019,3008173.0
12180.0,2020,3065808.0
12180.0,2021,3318016.0
12180.0,2022,3666333.0
12220.0,2011,4945201.0
12220.0,2012,5279702.0
12220.0,2013,5479740.0
12220.0,2014,5654736.0
12220.0,2015,6026586.0
12220.0,2016,6325100.0
12220.0,2017,6689338.0
12220.0,2018,6806249.0
12220.0,2019,7210575.0
12220.0,2020,7223179.0
12220.0,2021,7987582.0
12220.0,2022,8596443.0
12260.0,2011,22186340.0
12260.0,2012,22623211.0
12260.0,2013,23258579.0
12260.0,2014,24007530.0
12260.0,2015,25545468.0
12260.0,2016,26334413.0
12260.0,2017,27076188.0
12260.0,2018,28163771.0
12260.0,2019,29413304.0
12260.0,2020,29949917.0
12260.0,2021,32070695.0
12260.0,2022,34825921.0
12300.0,2011,4711332.0
12300.0,2012,4645502.0
12300.0,2013,4977477.0
12300.0,2014,5131139.0
12300.0,2015,5282554.0
12300.0,2016,5380670.0
12300.0,2017,5510136.0
12300.0,2018,5788502.0
12300.0,2019,6101420.0
12300.0,2020,6293448.0
12300.0,2021,6954794.0
12300.0,2022,7438652.0
12380.0,2011,1670920.0
12380.0,2012,1770828.0
12380.0,2013,1896724.0
12380.0,2014,1797430.0
12380.0,2015,1954332.0
12380.0,2016,1963587.0
12380.0,2017,1911393.0
12380.0,2018,1963368.0
12380.0,2019,2126214.0
12380.0,2020,2175510.0
12380.0,2021,2417973.0
12380.0,2022,2632735.0
12420.0,2011,97352466.0
12420.0,2012,100761664.0
12420.0,2013,108151304.0
12420.0,2014,115702814.0
12420.0,2015,126398460.0
12420.0,2016,133525260.0
12420.0,2017,141102904.0
12420.0,2018,151747890.0
12420.0,2019,164734089.0
12420.0,2020,172047499.0
12420.0,2021,196587977.0
12420.0,2022,227703434.0
12460.0,2011,749950.0
12460.0,2012,729654.0
12460.0,2013,759289.0
12460.0,2014,699071.0
12460.0,2015,756327.0
12460.0,2016,763821.0
12460.0,2017,802521.0
12460.0,2018,827597.0
12460.0,2019,854996.0
12460.0,2020,896919.0
12460.0,2021,1054868.0
12460.0,2022,1332904.0
12520.0,2011,498364.0
12520.0,2012,459931.0
12520.0,2013,503107.0
12520.0,2014,519568.0
12520.0,2015,513924.0
12520.0,2016,547479.0
12520.0,2017,539760.0
12520.0,2018,555086.0
12520.0,2019,582402.0
12520.0,2020,598374.0
12520.0,2021,640036.0
12520.0,2022,746255.0
12540.0,2011,43954455.0
12540.0,2012,46508179.0
12540.0,2013,47098717.0
12540.0,2014,47459214.0
12540.0,2015,42329440.0
12540.0,2016,41404338.0
12540.0,2017,43812095.0
12540.0,2018,45646364.0
12540.0,2019,46755289.0
12540.0,2020,45790611.0
12540.0,2021,53155039.0
12540.0,2022,58421422.0
12580.0,2011,158031305.0
12580.0,2012,162981268.0
12580.0,2013,168806696.0
12580.0,2014,174791079.0
12580.0,2015,182271120.0
12580.0,2016,191569591.0
12580.0,2017,198332438.0
12580.0,2018,204559677.0
12580.0,2019,210146752.0
12580.0,2020,207278076.0
12580.0,2021,225065633.0
12580.0,2022,243871881.0
12620.0,2011,5619682.0
12620.0,2012,5649918.0
12620.0,2013,5761115.0
12620.0,2014,5873603.0
12620.0,2015,6051528.0
12620.0,2016,6261517.0
12620.0,2017,6360893.0
12620.0,2018,6758301.0
12620.0,2019,7114254.0
12620.0,2020,7275744.0
12620.0,2021,7872400.0
12620.0,2022,8537540.0
12660.0,2011,3005817.0
12660.0,2012,3180764.0
12660.0,2013,3251493.0
12660.0,2014,3396949.0
12660.0,2015,3546133.0
12660.0,2016,3635428.0
12660.0,2017,3714789.0
12660.0,2018,3929937.0
12660.0,2019,4175457.0
12660.0,2020,3991092.0
12660.0,2021,4590069.0
12660.0,2022,4926459.0
12700.0,2011,10899246.0
12700.0,2012,11058887.0
12700.0,2013,11400834.0
12700.0,2014,11947200.0
12700.0,2015,12416079.0
12700.0,2016,12819955.0
12700.0,2017,12764776.0
12700.0,2018,13348266.0
12700.0,2019,14157930.0
12700.0,2020,13698531.0
12700.0,2021,15258290.0
12700.0,2022,16850556.0
12740.0,2011,3118098.0
12740.0,2012,3245480.0
12740.0,2013,3244243.0
12740.0,2014,3556719.0
12740.0,2015,3541894.0
12740.0,2016,3636956.0
12740.0,2017,3686037.0
12740.0,2018,3758666.0
12740.0,2019,3921965.0
12740.0,2020,3954828.0
12740.0,2021,4170248.0
12740.0,2022,4554193.0
12780.0,2011,2044613.0
12780.0,2012,2171521.0
12780.0,2013,2395815.0
12780.0,2014,2704763.0
12780.0,2015,2476416.0
12780.0,2016,2400830.0
12780.0,2017,3600664.0
12780.0,2018,4181778.0
12780.0,2019,3171250.0
12780.0,2020,2628339.0
12780.0,2021,2981183.0
12780.0,2022,3654082.0
12860.0,2011,2111165.0
12860.0,2012,2124086.0
12860.0,2013,2217595.0
12860.0,2014,2292044.0
12860.0,2015,2372728.0
12860.0,2016,2360316.0
12860.0,2017,2374864.0
12860.0,2018,2505817.0
12860.0,2019,2563019.0
12860.0,2020,2514756.0
12860.0,2021,2716899.0
12860.0,2022,3055937.0
12900.0,2011,1692494.0
12900.0,2012,1664349.0
12900.0,2013,1783964.0
12900.0,2014,1866748.0
12900.0,2015,1651845.0
12900.0,2016,1775677.0
12900.0,2017,1814024.0
12900.0,2018,1985173.0
12900.0,2019,1856010.0
12900.0,2020,1769487.0
12900.0,2021,2052551.0
12900.0,2022,2350063.0
12940.0,2011,50582174.0
12940.0,2012,52457695.0
12940.0,2013,52320956.0
12940.0,2014,57839564.0
12940.0,2015,57118943.0
12940.0,2016,53131672.0
12940.0,2017,52326374.0
12940.0,2018,58248715.0
12940.0,2019,57007427.0
12940.0,2020,52815978.0
12940.0,2021,57933871.0
12940.0,2022,64680975.0
12980.0,2011,5328400.0
12980.0,2012,5453100.0
12980.0,2013,5680282.0
12980.0,2014,5841727.0
12980.0,2015,6204144.0
12980.0,2016,6419521.0
12980.0,2017,6450941.0
12980.0,2018,6543076.0
12980.0,2019,6663018.0
12980.0,2020,6696111.0
12980.0,2021,7272363.0
12980.0,2022,7897845.0
13020.0,2011,3504489.0
13020.0,2012,3568106.0
13020.0,2013,3654429.0
13020.0,2014,3555284.0
