Year,cbsacode,Sample_Size,Data_value,Data_value_unit,v051_rawvalue,v052_rawvalue,v009_rawvalue,v011_rawvalue,v049_rawvalue,v060_rawvalue,v070_numerator,v069_numerator,v023_numerator,v082_numerator,v062_numerator,v063_rawvalue,v067_numerator,v045_rawvalue,gdp,Park_Area_Acres,Weighted_RESP,noise70n,noise80n,noise90n
2021,12060,14181,15.070000000000006,%,6034897.0,1452887.0000535443,712494.6522138278,1385684.3809839876,814783.3553043896,481024.1119951807,1021283.0000000001,1137805.0,100626.99999999999,404541.00000000006,9813.0,1939329.0,2217053.0,13141.299999999997,484082626.0,139783.192,0.407442606,38628.9326167619,8411.143736143504,261.18120652955855
2020,12060,16240,16.24,%,5963906.0,1453675.0003356359,686676.9556458058,1341861.7089083116,755772.5962903667,463788.5259624177,1055761.0,1116217.0,116219.0,494907.0,9186.0,1836113.0,2162887.0,13496.499999999998,439345708.0,139783.192,0.407442606,38628.9326167619,8411.143736143504,261.18120652955855
2018,12260,1099,17.77,%,594919.0,139674.0000083938,83017.35799228046,152525.09799702477,74148.31687316937,61549.53499867061,107772.0,91018.0,14767.0,57926.0,901.0,328792.0,204649.0,3320.0,28163771.0,3976.123756,0.400426965,1531.9767615940325,40.122342385279644,4.028891232288886
2013,12260,1141,16.7,%,569720.0,138497.0000042061,86448.59598763855,135152.9409990771,61571.52399993678,48005.51099963817,0.0,82138.0,24212.0,59810.0,168.0,288462.0,194926.0,3874.2999999999997,23258579.0,3976.123756,0.400426965,1531.9767615940325,40.122342385279644,4.028891232288886
2019,12260,868,20.95,%,600151.0,140236.0000074332,83795.24811221147,146125.68699741818,74948.02622099408,59385.942998857514,111241.0,92024.0,13155.0,56692.99999999999,952.0,341267.0,207737.0,4129.1,29413304.0,3976.123756,0.400426965,1531.9767615940325,40.122342385279644,4.028891232288886
2021,12260,1519,20.67,%,608980.0,139292.0000035618,91606.32423543038,167973.51999867315,81109.8391380167,60795.945999405056,127439.0,94162.0,9646.0,47801.0,1073.0,374914.0,217496.00000000003,4339.6,32070695.0,3976.123756,0.400426965,1531.9767615940325,40.122342385279644,4.028891232288886
2012,12260,1414,19.09,%,547067.0,138751.524,84629.47613862663,128477.657906,56291.22403599999,45625.546343,0.0,81650.00000000001,23852.0,59405.0,156.0,289446.0,192584.0,3249.1000000000004,22623211.0,3976.123756,0.400426965,1531.9767615940325,40.122342385279644,4.028891232288886
2014,12260,1176,20.13,%,575898.0,138398.99999633667,88216.5980009447,137704.4530011877,67929.21208186769,49579.889000441304,108477.0,84918.0,23651.0,60531.0,0.0,298887.0,197099.0,3727.2,24007530.0,3976.123756,0.400426965,1531.9767615940325,40.122342385279644,4.028891232288886
2015,12260,1050,19.39,%,580270.0,138628.9999950896,88965.29900131152,137391.70800154662,68548.19179655045,50431.28200049541,109099.0,87930.0,21576.0,60728.0,717.0,303024.0,197520.99999999997,3608.300000000001,25545468.0,3976.123756,0.400426965,1531.9767615940325,40.122342385279644,4.028891232288886
2011,12260,1442,15.61,%,547067.0,138751.524,88740.92871598875,128218.40115800001,56390.564573999996,46079.670066,0.0,78056.0,24444.0,56538.0,156.0,298566.0,185331.0,3372.0,22186340.0,3976.123756,0.400426965,1531.9767615940325,40.122342385279644,4.028891232288886
