CBSA Code,Num_Parks,Park_Area_Acres,Num_County,Num_Urban_Area,County_FIPS,Weighted_RESP,Weighted_UHI
25980,4,95.56477542,1,1,13179,0.4,0.147991466
26020,38,653.4746417,1,3,35025,0.233333333,-1.44242851
26090,43,470.2998005,1,5,26005,0.2,0.294401781
26140,44,39146.73421,1,4,12017,0.3,0.157672061
26220,24,82549.26604,1,2,41027,0.288635426,1.761073655
26300,20,5329.99258,1,2,5051,0.403040715,0.117331552
26340,34,661.6118034,1,2,26061,0.1,0.546589608
26380,42,628.4109272,2,2,"22109, 22057",0.270710406,0.171759052
26420,1995,286789.9252,10,30,"48157, 48201, 48167, 48039, 48339, 48071, 48473, 48291, 48015, 48407",0.324010138,0.173201272
26460,23,1026.551588,1,2,36021,0.2,0.071885052
26500,151,164678.3134,1,5,42061,0.2,0.272057264
26540,9,239.9612452,1,1,18069,0.2,0.793329753
26580,66,245845.4937,7,4,"54079, 21019, 54011, 39087, 54099, 21089, 21127",0.346864531,0.240858732
26620,146,10461.09078,2,3,"01089, 01083",0.398763681,-0.08662374
26660,31,2354.961635,1,1,48471,0.3,0.801462272
26700,7,121.6315957,1,1,46005,0.1,1.571375066
26740,26,656.8893852,1,1,20155,0.226462233,-0.080283651
26780,29,271.230169,1,2,27085,0.2,0.285542087
26820,50,577.1397614,2,2,"16051, 16019",0.194410927,0.154321835
26860,144,38723.51862,1,6,42063,0.20004922,0.152883226
26900,492,17966.87954,10,9,"18063, 18081, 18097, 18057, 18059, 18109, 18011, 18095, 18159, 18145",0.231203821,0.555421985
26980,98,36809.16492,2,2,"19103, 19183",0.201058706,0.050716779
27020,20,431.5639278,1,1,26043,0.144090594,0.240420171
27060,58,2505.901849,1,2,36109,0.198793097,0.052827583
27100,43,663.3796711,1,2,26075,0.2,0.23074828
27140,112,3021.096426,8,9,"28121, 28049, 28089, 28029, 28127, 28123, 28051, 28163",0.393407877,0.124403218
27180,36,1118.888929,4,8,"47023, 47053, 47113, 47033",0.302617751,0.183825792
27220,10,95.90078387,1,1,56039,0.1,-0.195584467
27260,608,202200.8104,5,10,"12019, 12031, 12109, 12003, 12089",0.337382715,-0.048459313
27300,10,204.2973393,1,1,17137,0.2,0.327077105
27340,25,727.5081283,1,3,37133,0.231356525,0.314250311
27380,26,3279.108186,1,2,48073,0.3,0.122665557
27420,12,222.0741513,1,1,38093,0.1,-0.342905643
27460,68,1141.335897,1,4,36013,0.2,-0.134382535
27500,136,3483.315558,1,4,55105,0.2,0.778946785
27540,24,309.0947539,1,2,18037,0.3,0.130885634
27600,18,647.6524267,1,5,13157,0.409745527,0.174587445
27620,55,1847.585364,3,4,"29135, 29027, 29051",0.250655522,0.26084116
27700,7,117.9801335,1,1,13305,0.4,0.127771551
27740,48,1677.788702,3,3,"47019, 47179, 47171",0.280240241,0.342101455
27780,207,77218.57532,1,10,42021,0.200076763,0.228117981
27860,22,993.5258469,2,2,"05111, 05031",0.3,-0.005445833
27900,71,2153.322381,3,6,"29145, 20021, 29097",0.3,0.327123167
27940,24,16728176.83,1,1,2110,0.1,4.132179894
27980,84,949.7983033,1,5,15009,0.129258825,-1.007215114
28020,89,5204.715931,1,2,26077,0.203858008,0.38631805
28060,70,2414727.757,1,4,30029,0.314818717,2.059303008
28100,75,4671.924259,1,2,17091,0.2,0.005787163
28140,1234,70292.21528,12,24,"29037, 29095, 20209, 29047, 20091, 29165, 29107, 20121, 20103, 29013, 29049, 29177",0.244235328,0.246538163
28180,63,1792.679985,1,6,15007,0.090493435,0.384206287
28260,23,559.323115,2,2,"31099, 31019",0.2,-0.265208941
28300,31,4030.66921,1,3,33005,0.2,0.184999341
28340,11,493.6988186,1,2,18113,0.2,0.795107963
28380,12,109.6294468,1,2,29069,0.3,0.294228118
28420,194,182126.5381,2,7,"53005, 53021",0.216099558,0.242507999
28450,142,4799.483533,1,2,55059,0.201749359,0.300869664
28500,21,1202.404965,1,1,48265,0.2,0.229291574
28540,9,50.94801637,1,1,2130,0.145007186,1.420845978
28580,63,81602.98494,1,4,12087,0.1,0.439004089
28620,21,1366.284418,1,2,37055,0.2,0.222319338
28660,158,44026.55668,3,6,"48099, 48027, 48281",0.22784238,0.137411603
28680,14,727.8131262,1,1,13039,0.3,0.543310705
