adult_smoking,adult_obesity,sti,excessive_drinking,population,under_18_pct,diabetes_prevalence,no_time_activity,edu_college,unemployment,children_single_parent,mental_health_providers,median_household_income,driving_alone_to_work,life_expectancy,65older,fipscode,diabetes_pop,obesity_pop,smoking_pop,drinking_pop,physical_inactivity,life_total
0.217,0.385,781.6,0.1386944835,58237,0.2396586363,0.147,0.363,10367,1210.0,6012.0,28,40821.0,20422.0,73.380676587,8779,1113,8560.839,22421.245,12637.429,8077.1506355895,21140.031,4273470.462397119
0.231,0.352,338.5,0.1830909045,90739,0.2229030516,0.108,0.318,13425,1986.0,3685.0,23,61973.0,34199.0,74.738053073,15895,1115,9799.812,31940.127999999997,20960.709000000003,16613.4855834255,28855.002,6781656.197790948
0.153,0.302,275.1,0.1561696113,221428,0.2289683328,0.09,0.236,43715,4402.0,8307.0,209,88444.0,89722.0,80.261566455,36343,1117,19928.52,66871.256,33878.484,34580.3246909364,52257.007999999994,17772158.136997737
0.232,0.435,1094.4,0.1207948521,12225,0.1931288344,0.178,0.395,1350,331.0,1349.0,3,32275.0,3725.0,71.90939336,2426,1119,2176.0499999999997,5317.875,2836.2000000000003,1476.7170669225,4828.875,879092.333826
0.25,0.371,678.9,0.1364737455,79985,0.206938801,0.132,0.36,10598,2532.0,6067.0,19,44802.0,26264.0,72.926037062,15103,1121,10558.02,29674.435,19996.25,10915.852533817499,28794.6,5832989.07440407
0.236,0.386,408.7,0.1545096639,40133,0.2030996935,0.129,0.366,4160,1239.0,3481.0,13,46654.0,12900.0,73.926745977,9154,1123,5177.157,15491.338,9471.387999999999,6200.9363412987,14688.678,2966902.096294941
0.202,0.383,734.2,0.1642700399,210758,0.2086421393,0.12,0.313,36110,6749.0,15018.0,330,56610.0,78892.0,75.826336033,29766,1125,25290.96,80720.314,42573.116,34621.2250692442,65967.254,15981006.929643014
0.259,0.353,283.4,0.1487783565,63143,0.2210696356,0.115,0.362,8372,1446.0,4123.0,68,46519.0,20607.0,69.629256842,12720,1127,7261.445000000001,22289.479,16354.037,9394.311764479498,22857.766,4396600.164774407
0.246,0.403,465.5,0.1412897778,15976,0.2120681022,0.139,0.381,1822,539.0,931.0,5,36346.0,4876.0,75.287942564,3279,1129,2220.664,6438.328,3930.096,2257.2454901327997,6086.856,1202800.170402464
0.275,0.454,1349.7,0.1148924465,10206,0.2275132275,0.186,0.441,972,423.0,1598.0,1,31909.0,2771.0,69.845386462,2145,1131,1898.316,4633.524,2806.65,1172.5923089789999,4500.8460000000005,712842.0142311719
