Year,cbsacode,v051_rawvalue,v052_rawvalue,v009_rawvalue,v011_rawvalue,v049_rawvalue,v060_rawvalue,v070_numerator,v069_numerator,v023_numerator,v082_numerator,v062_numerator,v063_rawvalue,v067_numerator,v045_rawvalue,Data_value,Sample_Size,gdp,Park_Area_Acres,Weighted_RESP,noise70n,noise80n,noise90n
2011,14260.0,571271.0,158409.629,69607.72751400001,100416.847245,66253.03109100001,30847.132641,0.0,107285.0,24536.0,34085.0,31.0,101135.0,202107.0,700.6,19.964742268041235,291.0,24490187.0,620433.4304,0.208713041,2206.515713154024,296.2913042890497,8.04377646326392
2012,14460.0,4588680.0,994384.234,549833.3241390001,822432.6021970001,679006.1781809999,288315.214334,0.0,913414.0,190033.0,262916.0,5259.0,463935.0,1570359.0,1972.4,17.512328767123286,2847.0,356528299.0,219190.7325,0.202725966,52465.22711054922,9029.077343771218,640.160290558974
2011,14460.0,4588680.0,994384.234,576806.944381,794086.1943900001,688042.55135,286353.608959,0.0,938168.0,190134.0,261322.0,5259.0,483898.0,1580615.0,1771.3,16.388713105076743,2541.0,340945790.0,219190.7325,0.202725966,52465.22711054922,9029.077343771218,640.160290558974
2012,14500.0,303482.0,64338.184,29892.977000000003,34914.997136,41371.880168,10522.327904,0.0,64611.0,12269.0,14304.0,351.0,62215.0,99407.0,240.8,18.28,101.0,20635102.0,35406.93791,0.210738827,1463.0579987415526,23.592323343707513,4.358706498332105
2011,14500.0,303482.0,64338.184,29892.977000000003,31566.983712000005,43524.174512000005,8370.033560000002,0.0,62068.0,11150.0,14271.0,351.0,66760.0,102384.0,228.9,17.25,115.0,20222155.0,35406.93791,0.210738827,1463.0579987415526,23.592323343707513,4.358706498332105
2012,15540.0,152313.0,30614.913,15577.355135999998,24704.711661,24217.919313,6206.602436999999,0.0,31558.0,4592.0,9073.0,285.0,56016.0,60464.0,291.9,20.38,196.0,11964916.0,6455.318154,0.201765352,567.9783589495797,17.998255637169226,1.3720435753676412
2011,15540.0,152313.0,30614.913,16672.637919,23244.334617,24217.919313,6328.300523999999,0.0,30320.000000000004,5287.0,9050.0,285.0,61230.0,60046.0,312.9,23.84,348.0,11657389.0,6455.318154,0.201765352,567.9783589495797,17.998255637169226,1.3720435753676412
2012,15940.0,379466.0,86518.248,67377.98296000001,94036.228392,47457.535824000006,33103.095976000004,0.0,52722.0,21310.0,29173.0,113.0,42805.0,145936.0,321.7,20.26,127.0,15272529.0,5520.914625,0.207753366,1643.3834305314108,98.95373036220047,21.2125837219415
2011,15940.0,379466.0,86518.248,67963.87846400001,90227.907616,48922.274584000006,33688.991480000004,0.0,51669.0,21563.0,29477.0,113.0,44682.0,148826.0,322.8,15.9,113.0,15208515.0,5520.914625,0.207753366,1643.3834305314108,98.95373036220047,21.2125837219415
2012,16220.0,74508.0,18179.952,14870.604672,15377.557104,9575.76816,4168.275552,0.0,12413.0,2934.0,5267.000000000001,20.0,52101.0,30643.0,501.9,21.8,189.0,5342264.0,1842.242624,0.112277332,181.04599475750342,1.8833212350971045,0.4698727070612937
2011,16220.0,74508.0,18179.952,15039.588816,14701.620528,9632.096208,4168.275552,0.0,12194.0,2684.0,5114.0,20.0,51486.0,29621.0,419.8,24.21,186.0,4654200.0,1842.242624,0.112277332,181.04599475750342,1.8833212350971045,0.4698727070612937
2011,16620.0,191663.0,40632.556,35341.123896000005,46215.315864,17519.531504000002,19331.896832,0.0,27642.0,5829.0,13907.0,116.0,41488.0,68067.0,314.6,19.31,131.0,12472917.0,1281.325352,0.321453418,1763.3109332249928,155.48862658104713,7.625331590277481
2012,16620.0,191663.0,40632.556,36096.276116,47725.620304,17217.470616000002,19482.927276,0.0,27497.0,6916.000000000001,13289.0,116.0,43110.0,69147.0,315.2,20.06,126.0,12084518.0,1281.325352,0.321453418,1763.3109332249928,155.48862658104713,7.625331590277481
2011,16700.0,355276.0,75318.512,56831.37006400001,72508.989392,63550.349776,26036.046384,0.0,71366.0,16092.0,30028.0,166.0,50213.0,134152.0,785.5,13.25,137.0,30427282.0,8568.514124,0.509772154,5244.440427058826,352.14635824121626,53.84094877403405
2012,16700.0,355276.0,75318.512,54031.795184,76988.30920000002,61310.689872,27995.748800000005,0.0,66773.0,16027.0,28978.0,166.0,46187.0,132049.0,785.0,16.73,177.0,32747044.0,8568.514124,0.509772154,5244.440427058826,352.14635824121626,53.84094877403405
2011,16740.0,913639.0,237546.14,114935.7862,173079.77216,107498.76474,53411.33594,0.0,208562.0,49202.0,71881.0,297.0,57293.00000000001,338962.0,476.5,16.51,125.0,120305020.0,34197.42238,0.378159463,14189.522760150245,1801.2119537347046,36.493393795781785
2012,16740.0,913639.0,237546.14,107498.76474,174431.95788,108174.8576,52735.24308,0.0,207720.0,50503.0,77249.0,297.0,52363.0,341922.0,653.8,11.76,87.0,130751112.0,34197.42238,0.378159463,14189.522760150245,1801.2119537347046,36.493393795781785
2011,16940.0,88854.0,21591.522,15470.36994,16412.044632,11367.358782,5448.260718,0.0,14700.0,2805.9999999999995,7416.0,41.0,56193.0,36917.0,444.4,18.12,218.0,4774842.0,820.299127,0.141296636,543.7984971703966,19.699717924311848,3.616186436907185
2012,16940.0,88854.0,21591.522,14730.482682000002,17017.406934,10560.209046,5582.785674,0.0,15028.0,3247.0,7870.999999999999,41.0,50278.0,38343.0,559.7,17.43,176.0,5031810.0,820.299127,0.141296636,543.7984971703966,19.699717924311848,3.616186436907185
2012,16980.0,5781248.0,1415221.6949999998,889572.3745670001,1172998.0355900002,877937.336107,400215.998617,0.0,1071493.0,296762.0,513707.0,3270.9999999999995,96709.0,1678305.0,1121.3,13.65142857142857,343.0,566467887.0,264239.4571,0.204633377,105414.91726200521,17765.80769467855,2547.641416823371
2011,16980.0,5781248.0,1415221.6949999998,919043.340814,1128974.033244,866294.214376,389301.5102310001,0.0,1095545.0,292695.0,526458.0,3270.9999999999995,104601.0,1687310.0,1141.9,17.341941031941033,407.0,537476155.0,264239.4571,0.204633377,105414.91726200521,17765.80769467855,2547.641416823371
2012,17140.0,855062.0,200084.508,134925.363352,177498.90033200002,132305.453384,64187.79421600001,0.0,137767.0,40531.0,77452.0,642.0,46359.0,300190.0,658.4,19.31,154.0,114485862.0,56549.75605,0.267904588,16858.19932453354,2580.0126572547233,236.22800621497916
