GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
" ""32000""",Nevada,8,CAGDP1,1,...,Real GDP (thousands of chained 2017 dollars) ,Thousands of chained 2017 dollars,116267250,120180066,125905375,139372999,150680865,156297854,157734325,152745628,140304326,142614154,144341195,142986066,144549285,145303555,151055866,156007391,163199058,168638546,176029722,166076969,182474074,190463257,195405599
" ""33000""",New Hampshire,1,CAGDP1,1,...,Real GDP (thousands of chained 2017 dollars) ,Thousands of chained 2017 dollars,61719433,63474207,66119382,68428131,69556141,71424518,71943489,71195646,70498580,72950374,73464967,74082814,75503436,76836226,79319322,80736110,81179571,82269495,84438198,83152633,89949286,91416069,93466707
" ""34000""",New Jersey,2,CAGDP1,1,...,Real GDP (thousands of chained 2017 dollars) ,Thousands of chained 2017 dollars,509631484,517752210,529815914,536174006,546357781,555210982,560823795,573202674,546362196,554764355,548479344,560729738,570952438,570696371,581414922,587049652,590086737,606892203,618690954,597221366,632463307,650235772,663888540
" ""35000""",New Mexico,6,CAGDP1,1,...,Real GDP (thousands of chained 2017 dollars) ,Thousands of chained 2017 dollars,72996409,75345940,78766781,85750994,86295933,88554483,89392345,89012850,90829180,90721033,90552302,90762379,90104025,92621054,93503891,93043510,93210058,96077043,100342190,97622409,100917579,103301550,110323705
" ""36000""",New York,2,CAGDP1,1,...,Real GDP (thousands of chained 2017 dollars) ,Thousands of chained 2017 dollars,1240755230,1228580763,1236563061,1269433125,1301438005,1339568524,1353798930,1328095698,1379504556,1431624004,1440346783,1496280128,1501818048,1535375930,1565835160,1590567799,1624800665,1665186762,1704364321,1656784776,1736222260,1765102098,1791210722
" ""37000""",North Carolina,5,CAGDP1,1,...,Real GDP (thousands of chained 2017 dollars) ,Thousands of chained 2017 dollars,387433915,393685863,404582505,420579406,442305623,470663854,477920775,492688763,473610474,482030392,484200276,488126533,497456561,509782385,525229133,536308527,546810139,556573693,567975016,564504431,600217252,619537198,638067296
" ""38000""",North Dakota,4,CAGDP1,1,...,Real GDP (thousands of chained 2017 dollars) ,Thousands of chained 2017 dollars,25329792,26592117,28326734,28636235,29629028,30911368,32528990,35030391,35971273,38697406,43300419,53326806,54690941,60192970,58694473,54756031,56530212,58516353,59408464,55850615,56419213,55987999,60348597
" ""39000""",Ohio,3,CAGDP1,1,...,Real GDP (thousands of chained 2017 dollars) ,Thousands of chained 2017 dollars,534612360,546688202,557024452,572308497,584867668,582637629,585402954,580389046,550982383,563816266,580251353,586540926,603057362,624973400,633274797,638157483,652187459,656212004,674063934,655243295,690478931,695257898,709816649
" ""40000""",Oklahoma,6,CAGDP1,1,...,Real GDP (thousands of chained 2017 dollars) ,Thousands of chained 2017 dollars,125695701,127930241,130147794,134606646,140360102,149367146,152879572,158987754,156856808,158086399,163859302,172016039,176086805,186574444,193792588,190093471,192538613,196030507,200072209,191560857,194132785,193940473,207923341
" ""41000""",Oregon,8,CAGDP1,1,...,Real GDP (thousands of chained 2017 dollars) ,Thousands of chained 2017 dollars,144486532,147432841,154445322,163046121,168734422,177222425,180724295,184842595,176951635,180738194,185959404,187352391,189609749,195808217,205581804,214769301,225534544,234308332,239794808,237424218,250325781,256062724,261951538
" ""42000""",Pennsylvania,2,CAGDP1,1,...,Real GDP (thousands of chained 2017 dollars) ,Thousands of chained 2017 dollars,577677457,583507433,598809508,614957107,626290144,626589933,649638062,665148308,645206702,666805833,676468333,689007041,704195021,718691570,734145090,744847129,754318029,763855357,771852456,736381296,765508777,779360594,799228807
" ""44000""",Rhode Island,1,CAGDP1,1,...,Real GDP (thousands of chained 2017 dollars) ,Thousands of chained 2017 dollars,49705159,51284341,52933114,55160485,55885918,57415808,56230541,54977076,54481456,56050592,56026561,56487375,57037208,57602681,58387945,58629978,58771553,58740143,60157586,58231651,60803041,62279352,63277041
" ""45000""",South Carolina,5,CAGDP1,1,...,Real GDP (thousands of chained 2017 dollars) ,Thousands of chained 2017 dollars,162837062,167333032,174270810,177169370,183267536,187386059,193386551,192497138,184081292,188777169,193221008,195406148,200147292,206077883,213212377,220559341,224937579,231663274,239021317,233650126,245752136,254504495,262298502
" ""46000""",South Dakota,4,CAGDP1,1,...,Real GDP (thousands of chained 2017 dollars) ,Thousands of chained 2017 dollars,32396924,35775980,36141857,37616551,39330564,39961632,41646169,43278516,44255803,44810730,47630336,48653884,48610061,49640865,50860751,51264324,51615065,51937814,52510223,52770673,55515898,55259849,57275094
" ""47000""",Tennessee,5,CAGDP1,1,...,Real GDP (thousands of chained 2017 dollars) ,Thousands of chained 2017 dollars,250311438,258542366,267589422,281564198,289064255,295668201,294819816,298526876,287308845,292686951,301508885,311754151,318347920,323879637,335461078,343544924,355417465,362363704,370197434,367863561,400243573,414470829,422087716
" ""48000""",Texas,6,CAGDP1,1,...,Real GDP (thousands of chained 2017 dollars) ,Thousands of chained 2017 dollars,1020517032,1042584367,1052132349,1111189147,1143413077,1225147261,1288828678,1287191538,1285560204,1323059067,1370174901,1438354410,1511806546,1559636095,1634127089,1633863306,1667313043,1746543257,1806736077,1773657126,1879101277,1952708571,2097090405
" ""49000""",Utah,7,CAGDP1,1,...,Real GDP (thousands of chained 2017 dollars) ,Thousands of chained 2017 dollars,100244341,102828054,104829230,111318873,118430200,127539423,133799806,133662879,130958640,133739071,138301056,140622492,145026883,150076296,155431501,162528245,172075043,182106012,192760581,194750236,210446917,217442488,225459425
" ""50000""",Vermont,1,CAGDP1,1,...,Real GDP (thousands of chained 2017 dollars) ,Thousands of chained 2017 dollars,25681811,26522838,27548116,28989183,29283221,29420875,29296631,30168649,29565738,30890645,31663596,31898139,31494602,31847684,32042859,32312674,32589227,32827757,33339435,32252651,33721916,34752646,35236566
" ""51000""",Virginia,5,CAGDP1,1,...,Real GDP (thousands of chained 2017 dollars) ,Thousands of chained 2017 dollars,386444742,390242390,404522231,421744430,442089548,451263106,457568894,462034720,460075252,475699292,479571404,483041359,488741274,488918588,498943604,505107730,515167162,527767531,541027958,534532298,565470578,580475243,597597103
" ""53000""",Washington,8,CAGDP1,1,...,Real GDP (thousands of chained 2017 dollars) ,Thousands of chained 2017 dollars,317860579,321977108,327645232,335449261,358396321,372145035,394221923,401093171,390813969,403471316,411575705,426447018,439472182,456186522,476715369,495724874,527169356,561785734,588794408,589156766,630051486,644075101,677238047
