cbsacode,Year,factor,baseline_moran_value,baseline_moran_p,final_moran_value,final_moran_p,selected_k,SSAMI,ln_pop_beta,ln_pop_p,ln_pop_CI_lower,ln_pop_CI_upper
41180.0,2011.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,0.8248559164832248,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
41620.0,2011.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,0.16262273821772233,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
41700.0,2011.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,0.6533855934622146,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
42660.0,2011.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,0.44892549417190253,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
43580.0,2011.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,-1.0144435532330718,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
43620.0,2011.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,-0.35713666982326764,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
44060.0,2011.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,-0.07976820135426976,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
44140.0,2011.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,-1.7024378354429057,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
45780.0,2011.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,-1.0200731317061837,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
45820.0,2011.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,-0.654883380143751,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
46140.0,2011.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,0.10501943450873874,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
47260.0,2011.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,-0.2169906649750839,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
48620.0,2011.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,-0.3937303767107405,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
49340.0,2011.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,-0.7873953660608812,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
10740.0,2012.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,0.3522429994980172,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
11260.0,2012.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,1.533309930575589,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
12060.0,2012.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,0.6535024011727604,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
12260.0,2012.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,-0.486842570855762,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
12420.0,2012.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,0.18440319429261542,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
12580.0,2012.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,-0.37354924448706406,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
12940.0,2012.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,-0.121830891876753,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
13740.0,2012.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,0.12939551613392375,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
13820.0,2012.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,-0.08195864594964775,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
13900.0,2012.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,-0.12289695514885679,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
14260.0,2012.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,0.6810072442494111,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
14460.0,2012.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,0.12854394829934712,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
15540.0,2012.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,-1.077975509293056,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
16620.0,2012.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,-1.3681176371929435,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
16700.0,2012.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,-0.373771830412128,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
16740.0,2012.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,0.08585002220802984,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
16980.0,2012.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,0.8199756387590007,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
17140.0,2012.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,0.18963071509305252,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
17820.0,2012.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,-0.5815422005124162,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
18140.0,2012.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,0.23214347848620598,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
19100.0,2012.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,0.6522536313476799,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
19740.0,2012.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,0.7848495128611148,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
19780.0,2012.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,-0.10449493032958657,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
19820.0,2012.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,0.12920908517090623,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
20260.0,2012.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,0.7057752212116046,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
22020.0,2012.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,-0.2824919485846191,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
22220.0,2012.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,-0.7624114528536214,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
24340.0,2012.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,-0.23025757766020227,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
24860.0,2012.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,-0.766235609402063,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
25180.0,2012.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,-1.6265854040864731,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
26420.0,2012.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,0.739881586461415,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
26580.0,2012.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,-0.9744646609627345,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
26900.0,2012.0,excessive_drinking,0.08213124396267325,0.002,0.08213124396267325,0.001,0,-0.04120724897097716,0.8821181822704399,5.981609165239657e-202,0.8394160524167849,0.924820312124095
