Year,cbsacode,population,adult_smoking,adult_obesity,excessive_drinking,diabetes_prevalence,some_college,unemployment,children_single_parent,mental_health_providers,median_household_income,driving_alone_to_work,sti,Sample_Size,gdp,Park_Area_Acres,Weighted_RESP,noise70n,noise80n,noise90n,smo_obe_dia,smo_obe,smo_dia,obe_dia,depressed,no_time_activity
2011,13900.0,79822.0,10522.13604,15565.29,11829.6204,4171.49772,16624.0,1777.0,4185.0,34.0,54040.00000000001,34975.0,287.2,111.0,5594894.0,1736.474756,0.198427523,642.4773467098723,45.36378883629449,11.469352533860206,-1.0126576044751971,-0.8394203255739746,-0.8230275504457889,-0.8180657046375275,14926.714,18836.0
2011,14260.0,571271.0,69607.72751400001,100416.847245,66253.03109100001,30847.132641,107285.0,24536.0,34085.0,31.0,101135.0,202107.0,700.6,291.0,24490187.0,620433.4304,0.208713041,2206.515713154024,296.2913042890497,8.04377646326392,-0.5757468689446645,-0.46812665725143654,-0.4717967384463331,-0.4703636859315519,114052.78280206185,77331.0
2011,14460.0,4588680.0,576806.944381,794086.1943900001,688042.55135,286353.608959,938168.0,190134.0,261322.0,5259.0,483898.0,1580615.0,1771.3,2541.0,340945790.0,219190.7325,0.202725966,52465.22711054922,9029.077343771218,640.160290558974,3.246311164121816,2.643894282312393,2.706076668218768,2.6020007303573283,752025.6005100354,741733.0
2011,14500.0,303482.0,29892.977000000003,31566.983712000005,43524.174512000005,8370.033560000002,62068.0,11150.0,14271.0,351.0,66760.0,102384.0,228.9,115.0,20222155.0,35406.93791,0.210738827,1463.0579987415526,23.592323343707513,4.358706498332105,-0.9131471729267704,-0.7433013389529123,-0.7358020346808695,-0.7576043978169917,52350.645,23765.0
2011,15540.0,152313.0,16672.637919,23244.334617,24217.919313,6328.300523999999,30320.000000000004,5287.0,9050.0,285.0,61230.0,60046.0,312.9,348.0,11657389.0,6455.318154,0.201765352,567.9783589495797,17.998255637169226,1.3720435753676412,-0.9723296562724141,-0.8032704795873034,-0.7902737284302722,-0.788179099796587,36311.4192,27526.0
2011,15940.0,379466.0,67963.87846400001,90227.907616,48922.274584000006,33688.991480000004,51669.0,21563.0,29477.0,113.0,44682.0,148826.0,322.8,113.0,15208515.0,5520.914625,0.207753366,1643.3834305314108,98.95373036220047,21.2125837219415,-0.583787190265827,-0.4954212429408088,-0.4595584623850984,-0.47499187709501633,60335.094000000005,81269.0
2011,16220.0,74508.0,15039.588816,14701.620528,9632.096208,4168.275552,12194.0,2684.0,5114.0,20.0,51486.0,29621.0,419.8,186.0,4654200.0,1842.242624,0.112277332,181.04599475750345,1.8833212350971045,0.4698727070612937,-1.0025148030375965,-0.8269632618075655,-0.8087186100545062,-0.8199571570186185,18038.3868,13143.0
2011,16620.0,191663.0,35341.123896000005,46215.315864,17519.531504000002,19331.896832,27642.0,5829.0,13907.0,116.0,41488.0,68067.0,314.6,131.0,12472917.0,1281.325352,0.321453418,1763.3109332249928,155.48862658104713,7.625331590277481,-0.8181334520248834,-0.6942760701392758,-0.6512026203749165,-0.6585412343481447,37010.1253,57876.0
2011,16700.0,355276.0,56831.37006400001,72508.989392,63550.349776,26036.046384,71366.0,16092.0,30028.0,166.0,50213.0,134152.0,785.5,137.0,30427282.0,8568.514124,0.509772154,5244.440427058826,352.14635824121626,53.84094877403405,-0.6823488530494239,-0.5691308010684901,-0.5418672506125858,-0.5603887047625847,47074.07,122401.0
2011,16740.0,913639.0,114935.7862,173079.77216,107498.76474,53411.33594,208562.0,49202.0,71881.0,297.0,57293.00000000001,338962.0,476.5,125.0,120305020.0,34197.42238,0.378159463,14189.522760150245,1801.2119537347046,36.493393795781785,-0.21663460275286672,-0.1668840337277252,-0.18945189220303205,-0.17432473879273594,150841.7989,382394.0
