cbsacode,Year,factor,baseline_moran_value,baseline_moran_p,final_moran_value,final_moran_p,selected_k,SSAMI,ln_pop_beta,ln_pop_p,ln_pop_CI_lower,ln_pop_CI_upper,ln_area_beta,ln_area_p,ln_area_CI_lower,ln_area_CI_upper
17820,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,-0.01588898406638073,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
17900,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,0.01642241227636454,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
18140,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,0.12808529794456724,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
18180,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,-0.08289793175644888,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
19100,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,-0.10739673724714116,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
19430,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,-0.06537962403870523,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
19740,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,0.11789631455561178,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
19780,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,0.1502514321730395,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
19820,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,-0.004496741623350786,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
20100,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,-0.007005561285035711,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
21660,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,0.032564221689970196,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
21820,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,0.25835451480437577,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
22020,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,0.2910046631205656,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
22140,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,-0.20266950265839512,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
22660,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,0.11940840285592991,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
24260,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,-0.11602962053147614,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
24340,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,0.043956319554963486,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
24500,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,-0.05097090695949902,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
24540,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,-0.006441301656339604,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
24660,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,-0.20759401169037517,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
24860,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,-0.2108733752501486,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
25720,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,-0.32887609091969594,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
25900,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,0.06431715075987121,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
25940,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,0.1746654932200613,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
26420,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,-0.25079756519704155,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
26900,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,-0.06968067279203005,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
28060,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,0.18442998916847841,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
28140,2011,excessive_drinking,0.35496587778550176,0.001,0.09663723014488924,0.067,15,-0.09974842601621603,1.017120927977719,4.869093573836758e-75,0.9809992658192814,1.0532425901361564,-0.008741339601355327,0.803091180404626,-0.07813609420802489,0.06065341500531424
