cbsacode,Year,factor,baseline_moran_value,baseline_moran_p,final_moran_value,final_moran_p,selected_k,SSAMI,ln_density_beta,ln_density_p,ln_density_CI_lower,ln_density_CI_upper,detrended,adf_p_original,adf_p_final
46140,2012,obe_dia,-0.0155489774360656,0.158,-0.0155489774360656,0.167,0,6.6953013025909245,92.80861551415263,1.9109668298033683e-13,68.43653741469707,117.18069361360824,0.8610421844250533,0.00782651967838702,0.018164418738514033
46140,2013,obe_dia,-0.0155489774360656,0.158,-0.0155489774360656,0.167,0,4.926457804332345,92.80861551415263,1.9109668298033683e-13,68.43653741469707,117.18069361360824,-0.21372830348923166,0.00782651967838702,0.018164418738514033
46140,2014,obe_dia,-0.0155489774360656,0.158,-0.0155489774360656,0.167,0,4.463199520370237,92.80861551415263,1.9109668298033683e-13,68.43653741469707,117.18069361360824,0.017086422892954367,0.00782651967838702,0.018164418738514033
46140,2015,obe_dia,-0.0155489774360656,0.158,-0.0155489774360656,0.167,0,3.5300001367284635,92.80861551415263,1.9109668298033683e-13,68.43653741469707,117.18069361360824,-0.22203995040452496,0.00782651967838702,0.018164418738514033
46140,2016,obe_dia,-0.0155489774360656,0.158,-0.0155489774360656,0.167,0,2.794231673365465,92.80861551415263,1.9109668298033683e-13,68.43653741469707,117.18069361360824,-0.2637354034232291,0.00782651967838702,0.018164418738514033
46140,2017,obe_dia,-0.0155489774360656,0.158,-0.0155489774360656,0.167,0,1.679697432492924,92.80861551415263,1.9109668298033683e-13,68.43653741469707,117.18069361360824,-0.6841966339514765,0.00782651967838702,0.018164418738514033
46140,2018,obe_dia,-0.0155489774360656,0.158,-0.0155489774360656,0.167,0,1.099842582677956,92.80861551415263,1.9109668298033683e-13,68.43653741469707,117.18069361360824,-0.5699784734221496,0.00782651967838702,0.018164418738514033
46140,2019,obe_dia,-0.0155489774360656,0.158,-0.0155489774360656,0.167,0,0.7737600341251418,92.80861551415263,1.9109668298033683e-13,68.43653741469707,117.18069361360824,-0.20198801163067004,0.00782651967838702,0.018164418738514033
46140,2020,obe_dia,-0.0155489774360656,0.158,-0.0155489774360656,0.167,0,0.4887512527467649,92.80861551415263,1.9109668298033683e-13,68.43653741469707,117.18069361360824,0.20707621733524684,0.00782651967838702,0.018164418738514033
46140,2021,obe_dia,-0.0155489774360656,0.158,-0.0155489774360656,0.167,0,0.0530636242458887,92.80861551415263,1.9109668298033683e-13,68.43653741469707,117.18069361360824,0.46546159917866536,0.00782651967838702,0.018164418738514033
46140,2022,obe_dia,-0.0155489774360656,0.158,-0.0155489774360656,0.167,0,-0.6596870547757641,92.80861551415263,1.9109668298033683e-13,68.43653741469707,117.18069361360824,0.4467839305013064,0.00782651967838702,0.018164418738514033
47260,2011,obe_dia,-0.0155489774360656,0.158,-0.0155489774360656,0.167,0,-102.18282499955176,92.80861551415263,1.9109668298033683e-13,68.43653741469707,117.18069361360824,-101.88073870307606,0.9185698951382514,0.0
47260,2012,obe_dia,-0.0155489774360656,0.158,-0.0155489774360656,0.167,0,-102.15903455662892,92.80861551415263,1.9109668298033683e-13,68.43653741469707,117.18069361360824,0.32588072240862687,0.9185698951382514,0.0
47260,2013,obe_dia,-0.0155489774360656,0.158,-0.0155489774360656,0.167,0,-102.47390160214698,92.80861551415263,1.9109668298033683e-13,68.43653741469707,117.18069361360824,-0.17553744600242283,0.9185698951382514,0.0
47260,2014,obe_dia,-0.0155489774360656,0.158,-0.0155489774360656,0.167,0,-103.2468869301111,92.80861551415263,1.9109668298033683e-13,68.43653741469707,117.18069361360824,-0.3106657371311883,0.9185698951382514,0.0
47260,2015,obe_dia,-0.0155489774360656,0.158,-0.0155489774360656,0.167,0,-103.6271311346554,92.80861551415263,1.9109668298033683e-13,68.43653741469707,117.18069361360824,0.32003800380311986,0.9185698951382514,0.0
47260,2016,obe_dia,-0.0155489774360656,0.158,-0.0155489774360656,0.167,0,-104.19052465199212,92.80861551415263,1.9109668298033683e-13,68.43653741469707,117.18069361360824,-0.16032388761617256,0.9185698951382514,0.0
47260,2017,obe_dia,-0.0155489774360656,0.158,-0.0155489774360656,0.167,0,-104.59027756379508,92.80861551415263,1.9109668298033683e-13,68.43653741469707,117.18069361360824,-0.13302021214843762,0.9185698951382514,0.0
47260,2018,obe_dia,-0.0155489774360656,0.158,-0.0155489774360656,0.167,0,-104.67361185607396,92.80861551415263,1.9109668298033683e-13,68.43653741469707,117.18069361360824,-0.006166039416015678,0.9185698951382514,0.0
47260,2019,obe_dia,-0.0155489774360656,0.158,-0.0155489774360656,0.167,0,-104.56407160489124,92.80861551415263,1.9109668298033683e-13,68.43653741469707,117.18069361360824,0.08032416867906989,0.9185698951382514,0.0
47260,2020,obe_dia,-0.0155489774360656,0.158,-0.0155489774360656,0.167,0,-104.7159873913671,92.80861551415263,1.9109668298033683e-13,68.43653741469707,117.18069361360824,-0.08014709959708455,0.9185698951382514,0.0
47260,2021,obe_dia,-0.0155489774360656,0.158,-0.0155489774360656,0.167,0,-104.87320671696426,92.80861551415263,1.9109668298033683e-13,68.43653741469707,117.18069361360824,0.14591123904854442,0.9185698951382514,0.0
47260,2022,obe_dia,-0.0155489774360656,0.158,-0.0155489774360656,0.167,0,-105.48305016768629,92.80861551415263,1.9109668298033683e-13,68.43653741469707,117.18069361360824,-0.06903521819550917,0.9185698951382514,0.0
48620,2011,obe_dia,-0.0155489774360656,0.158,-0.0155489774360656,0.167,0,6.8882514825137635,92.80861551415263,1.9109668298033683e-13,68.43653741469707,117.18069361360824,0.6411828574193414,0.4402243048727069,6.948640036443935e-05
48620,2012,obe_dia,-0.0155489774360656,0.158,-0.0155489774360656,0.167,0,6.890893436723591,92.80861551415263,1.9109668298033683e-13,68.43653741469707,117.18069361360824,1.0273490267255374,0.4402243048727069,6.948640036443935e-05
48620,2013,obe_dia,-0.0155489774360656,0.158,-0.0155489774360656,0.167,0,4.96882069575297,92.80861551415263,1.9109668298033683e-13,68.43653741469707,117.18069361360824,-0.5111994991487148,0.4402243048727069,6.948640036443935e-05
48620,2014,obe_dia,-0.0155489774360656,0.158,-0.0155489774360656,0.167,0,4.5734802358765325,92.80861551415263,1.9109668298033683e-13,68.43653741469707,117.18069361360824,-0.5230157439287835,0.4402243048727069,6.948640036443935e-05
48620,2015,obe_dia,-0.0155489774360656,0.158,-0.0155489774360656,0.167,0,4.380185969737297,92.80861551415263,1.9109668298033683e-13,68.43653741469707,117.18069361360824,-0.3327857949716506,0.4402243048727069,6.948640036443935e-05
48620,2016,obe_dia,-0.0155489774360656,0.158,-0.0155489774360656,0.167,0,3.8259106888611143,92.80861551415263,1.9109668298033683e-13,68.43653741469707,117.18069361360824,-0.5035368607514643,0.4402243048727069,6.948640036443935e-05
48620,2017,obe_dia,-0.0155489774360656,0.158,-0.0155489774360656,0.167,0,3.311298030555272,92.80861551415263,1.9109668298033683e-13,68.43653741469707,117.18069361360824,-0.6346253039609384,0.4402243048727069,6.948640036443935e-05
48620,2018,obe_dia,-0.0155489774360656,0.158,-0.0155489774360656,0.167,0,3.276950448517933,92.80861551415263,1.9109668298033683e-13,68.43653741469707,117.18069361360824,-0.28544867090190884,0.4402243048727069,6.948640036443935e-05
48620,2019,obe_dia,-0.0155489774360656,0.158,-0.0155489774360656,0.167,0,3.1226766451484025,92.80861551415263,1.9109668298033683e-13,68.43653741469707,117.18069361360824,-0.056198259175070486,0.4402243048727069,6.948640036443935e-05
48620,2020,obe_dia,-0.0155489774360656,0.158,-0.0155489774360656,0.167,0,3.2244894260444723,92.80861551415263,1.9109668298033683e-13,68.43653741469707,117.18069361360824,0.429138736817368,0.4402243048727069,6.948640036443935e-05
