cbsacode,Year,factor,baseline_moran_value,baseline_moran_p,final_moran_value,final_moran_p,selected_k,SSAMI,ln_density_beta,ln_density_p,ln_density_CI_lower,ln_density_CI_upper
26420,2013,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,0.670504995328459,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
26580,2013,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,-0.48109482539916293,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
26900,2013,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,-0.19686189301599022,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
28140,2013,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,0.5985551970168519,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
28940,2013,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,-0.2501155760066638,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
30700,2013,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,-1.0558040888362275,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
30780,2013,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,-0.08648936565379373,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
31080,2013,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,-0.051169413016024734,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
31140,2013,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,-0.47172899932440515,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
32820,2013,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,-0.08137031684231566,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
33340,2013,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,-1.1505524529958713,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
33460,2013,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,0.596607370699056,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
34980,2013,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,0.05069975788780745,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
35380,2013,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,-0.5031517418145786,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
35620,2013,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,0.4196155423911545,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
36260,2013,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,0.041889565002627194,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
36420,2013,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,0.19106100885423594,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
36540,2013,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,0.05054079694865976,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
37980,2013,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,0.5156841598527251,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
38060,2013,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,0.8594852266115165,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
38300,2013,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,0.5471460164954021,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
38860,2013,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,-0.4307561369988999,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
38900,2013,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,-0.09120575685566124,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
39300,2013,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,-0.6151363355847543,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
39340,2013,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,-0.40136334955348474,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
39660,2013,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,0.1136917710246248,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
39900,2013,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,-0.10437134706486617,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
40060,2013,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,0.5547561041081259,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
41180,2013,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,0.5686334139602227,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
41620,2013,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,0.16428465039033924,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
41700,2013,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,0.3937849960746753,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
42660,2013,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,-0.15854120201283983,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
43580,2013,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,-0.8204606917302435,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
